"OrderID","CustomerID","EmployeeID","OrderDate","RequiredDate","ShippedDate","ShipVia","Freight","ShipName","ShipAddress","ShipCity","ShipRegion","ShipPostalCode","ShipCountry"
26,XS276,5,"2026-01-31 00:20:10","2026-02-04 00:20:10",,1,144.11,James GroupSmall Business,"15780 Anderson Village
Wilsonfurt, RI 71796",North Alexander,Alabama,"11552",United States
27,XW166,20,"2024-09-11 07:44:30","2024-09-14 07:44:30","2024-09-14 07:44:30",5,157.30,"Phillips, Larson and JonesOnline Marketplace Seller","5701 Ellis Square
South Carlaborough, NV 59637",Monicafort,Colorado,"99798",United States
28,SO908,15,"2025-05-27 21:41:14","2025-06-06 21:41:14","2025-05-28 21:41:14",1,476.48,Barry IncConsumer Electronics Store,"21084 Sara Center Suite 817
North Deannastad, TX 00650",Tylerhaven,Texas,"88263",United States
29,QN420,20,"2025-07-07 11:28:20","2025-07-12 11:28:20","2025-07-11 11:28:20",9,211.02,Ellis-WilkinsHome Automation Company,"3879 Dan Mountain
New Melissa, NH 66573",Bruceborough,Rhode Island,"17724",United States
30,UA828,1,"2025-12-19 07:34:44","2025-12-23 07:34:44",,5,387.90,Castillo PLCHome Improvement Store,"USNS Evans
FPO AP 76921",West Scott,Arizona,"33036",United States
31,CB552,9,"2025-11-01 05:56:27","2025-11-14 05:56:27","2025-11-04 05:56:27",3,457.95,Hendricks IncOnline Marketplace Seller,"255 Adams Skyway Suite 847
Mariaborough, PW 11530",Lake Ashley,Alaska,"41234",United States
32,HF081,13,"2025-06-06 12:45:10","2025-06-14 12:45:10","2025-06-10 12:45:10",8,216.02,Owens-JenkinsConsumer Electronics Store,"07354 Jill Grove Apt. 475
South Stephanie, NY 95395",West Jenniferborough,Indiana,"06862",United States
33,UA828,20,"2024-06-11 22:06:15","2024-06-22 22:06:15",,4,425.39,Castillo PLCHome Improvement Store,"USNS Evans
FPO AP 76921",West Scott,Arizona,"33036",United States
34,CB552,8,"2025-10-08 07:44:25","2025-10-15 07:44:25",,10,181.31,Hendricks IncOnline Marketplace Seller,"255 Adams Skyway Suite 847
Mariaborough, PW 11530",Lake Ashley,Alaska,"41234",United States
35,EG092,15,"2025-08-28 02:55:19","2025-09-04 02:55:19","2025-09-02 02:55:19",2,173.67,"Carter, Weber and JenkinsFacility Management Company","4194 Rhonda Pike Apt. 854
Stephenborough, AS 77606",West Brianton,Illinois,"73954",United States
36,SO908,18,"2025-10-01 07:19:38","2025-10-08 07:19:38","2025-10-05 07:19:38",7,235.45,Barry IncConsumer Electronics Store,"21084 Sara Center Suite 817
North Deannastad, TX 00650",Tylerhaven,Texas,"88263",United States
37,TF836,2,"2024-12-07 13:03:43","2024-12-13 13:03:43","2024-12-09 13:03:43",8,375.80,Becker LtdConsumer Electronics Store,"93523 Andrew Lake
Port Carlahaven, NM 48551",South Nataliemouth,Connecticut,"34897",United States
38,YQ009,20,"2024-09-21 04:24:26","2024-10-01 04:24:26",,2,134.00,Liu GroupIT Services Company,"PSC 6892, Box 2582
APO AA 44003",East Anafurt,New Mexico,"14926",United States
39,FS045,6,"2025-04-26 12:20:07","2025-05-04 12:20:07","2025-04-28 12:20:07",9,346.88,"Hammond, Watson and SparksIT Services Company","95937 Tony Estates Apt. 951
West Elizabethport, MH 46586",Bakermouth,Arkansas,"55616",United States
40,ID078,4,"2025-02-08 20:44:01","2025-02-18 20:44:01","2025-02-10 20:44:01",3,151.57,English IncSecurity Service Provider,"736 Jessica Route
Coleview, AL 61951",Murillostad,Montana,"53999",United States
41,ZX420,19,"2025-10-26 01:19:27","2025-11-09 01:19:27","2025-10-30 01:19:27",6,104.71,Walker and SonsHome Automation Company,"7852 Arellano Fall
Travisland, DE 45151",East Russellburgh,Hawaii,"82554",United States
42,NZ483,2,"2026-03-02 03:08:55","2026-03-13 03:08:55","2026-03-03 03:08:55",2,340.09,Nelson-BryantE-commerce Company,"6384 Johnson Crescent Suite 868
Pattersonburgh, FM 52740",Marissaside,Michigan,"56147",United States
43,QO801,9,"2026-06-07 03:37:49","2026-06-20 03:37:49","2026-06-10 03:37:49",5,241.37,"Miller, Brock and SuttonProperty Management Company","USNV Zimmerman
FPO AP 25218",Port Shelby,New Hampshire,"08963",United States
44,BN567,18,"2024-10-05 05:05:57","2024-10-08 05:05:57","2024-10-06 05:05:57",4,210.80,Garcia-RichardHome Improvement Store,"56569 Kenneth Plains Apt. 310
East Molly, MT 84069",North Jeremy,Rhode Island,"65178",United States
45,HY451,6,"2025-05-11 04:09:21","2025-05-23 04:09:21","2025-05-13 04:09:21",8,164.66,Bradshaw PLCSmart Home Installer,"273 Jones Creek
Thomasside, OH 61268",Coleside,Michigan,"02926",United States
46,TZ806,20,"2026-03-02 05:19:31","2026-03-12 05:19:31","2026-03-04 05:19:31",4,398.80,Thompson LtdSmall Business,"PSC 6209, Box 6988
APO AA 35083",Jasonfurt,Georgia,"31507",United States
47,UG099,7,"2026-01-17 05:08:25","2026-01-20 05:08:25","2026-01-22 05:08:25",7,402.77,Wright IncIT Services Company,"3718 Keith Landing
Robertmouth, WA 66206",North Kevinside,South Carolina,"11054",United States
48,XS276,15,"2026-05-31 02:01:47","2026-06-03 02:01:47",,3,10.71,James GroupSmall Business,"15780 Anderson Village
Wilsonfurt, RI 71796",North Alexander,Alabama,"11552",United States
49,FM680,4,"2026-02-06 09:01:01","2026-02-14 09:01:01",,4,70.76,Williams and SonsOnline Marketplace Seller,"PSC 2120, Box 6226
APO AE 25846",Austinburgh,Arizona,"76300",United States
50,UN313,5,"2024-12-08 09:08:57","2024-12-15 09:08:57","2024-12-11 09:08:57",9,222.19,Archer and SonsTechnology Startup,"USNS Smith
FPO AA 80104",Port Jill,Wisconsin,"33572",United States
51,DY566,9,"2026-01-02 07:31:34","2026-01-15 07:31:34","2026-01-05 07:31:34",5,118.39,Cruz-BlairRetail Company,"PSC 5150, Box 6556
APO AA 19091",New Kenneth,Illinois,"94617",United States
52,QN420,17,"2026-04-21 01:09:49","2026-05-03 01:09:49","2026-04-23 01:09:49",3,97.55,Ellis-WilkinsHome Automation Company,"3879 Dan Mountain
New Melissa, NH 66573",Bruceborough,Rhode Island,"17724",United States
53,HF081,10,"2024-08-12 21:48:12","2024-08-26 21:48:12","2024-08-15 21:48:12",8,145.57,Owens-JenkinsConsumer Electronics Store,"07354 Jill Grove Apt. 475
South Stephanie, NY 95395",West Jenniferborough,Indiana,"06862",United States
54,XS276,12,"2026-03-08 15:17:46","2026-03-11 15:17:46",,5,155.98,James GroupSmall Business,"15780 Anderson Village
Wilsonfurt, RI 71796",North Alexander,Alabama,"11552",United States
55,GU953,12,"2024-07-13 10:06:00","2024-07-21 10:06:00","2024-07-16 10:06:00",10,168.27,"Chambers, Smith and FloresReal Estate Company","20275 Jose Locks Suite 236
Jonesshire, NJ 29904",Debbieport,Minnesota,"03203",United States
56,QC191,3,"2024-07-06 00:08:42","2024-07-15 00:08:42","2024-07-08 00:08:42",1,326.43,Mccormick-LevyReal Estate Company,"04672 Nelson Vista
Collinsberg, OK 62686",South Sherry,West Virginia,"29415",United States
57,JO498,5,"2026-02-14 14:27:10","2026-02-26 14:27:10","2026-02-15 14:27:10",4,237.53,Davis-WoodwardOnline Marketplace Seller,"60923 Luna Brooks
East Jane, AK 70485",South Eric,Connecticut,"76697",United States
58,TI502,3,"2024-10-04 23:48:26","2024-10-09 23:48:26","2024-10-09 23:48:26",8,402.26,Bird-WilsonAppliance Retailer,"785 Peters Lodge
Melissaport, KY 47900",Port Robert,Florida,"75761",United States
59,IU348,4,"2024-12-29 12:02:09","2025-01-01 12:02:09","2024-12-31 12:02:09",9,359.34,Brooks and SonsProperty Management Company,"24210 Abigail Fort Suite 714
East Kyleland, AR 59968",West Carolside,Illinois,"05663",United States
60,AI186,20,"2025-06-07 19:03:35","2025-06-14 19:03:35","2025-06-12 19:03:35",1,473.46,Robinson GroupHome Improvement Store,"USS Henry
FPO AA 19576",Glassland,Indiana,"62924",United States
61,NQ228,9,"2025-07-15 05:53:22","2025-07-18 05:53:22","2025-07-20 05:53:22",7,111.20,Massey-MooreRetail Company,"07564 Brenda River
East Matthewborough, SC 09211",Port Nicole,Illinois,"53187",United States
62,VW282,12,"2025-06-28 20:13:34","2025-07-02 20:13:34","2025-07-03 20:13:34",7,63.61,"English, Hardy and TrevinoAppliance Retailer","79636 Ruiz Ports Apt. 658
Thompsonchester, ND 71880",New Michele,North Dakota,"56528",United States
63,ID078,16,"2025-04-21 04:27:08","2025-05-02 04:27:08","2025-04-24 04:27:08",8,262.80,English IncSecurity Service Provider,"736 Jessica Route
Coleview, AL 61951",Murillostad,Montana,"53999",United States
64,LP961,12,"2024-10-05 04:27:04","2024-10-18 04:27:04",,3,152.41,Cervantes-SpenceFacility Management Company,"6934 Leach Burg Suite 665
Port Michaelmouth, MP 14959",Danielstad,North Carolina,"20757",United States
65,OI217,10,"2025-10-14 06:58:26","2025-10-21 06:58:26","2025-10-17 06:58:26",9,125.25,"Scott, Harris and JeffersonSmall Business","1000 Jones Inlet
Lake Frank, VI 80498",Loganhaven,Kansas,"59284",United States
66,TI502,19,"2024-09-21 20:59:58","2024-10-04 20:59:58",,4,255.16,Bird-WilsonAppliance Retailer,"785 Peters Lodge
Melissaport, KY 47900",Port Robert,Florida,"75761",United States
67,SO908,13,"2026-05-09 18:02:44","2026-05-14 18:02:44",,6,488.12,Barry IncConsumer Electronics Store,"21084 Sara Center Suite 817
North Deannastad, TX 00650",Tylerhaven,Texas,"88263",United States
68,JO498,3,"2024-10-17 00:54:17","2024-10-31 00:54:17","2024-10-19 00:54:17",10,447.14,Davis-WoodwardOnline Marketplace Seller,"60923 Luna Brooks
East Jane, AK 70485",South Eric,Connecticut,"76697",United States
69,GV152,3,"2026-01-26 19:36:19","2026-02-07 19:36:19",,4,279.28,Barnes LLCE-commerce Company,"8711 Oliver Street
New Raven, WY 24004",Port Denise,Oklahoma,"44016",United States
70,BE531,6,"2026-05-20 07:26:58","2026-05-24 07:26:58",,9,79.93,Richardson-ThomasE-commerce Company,"081 Huff Row Apt. 442
Port Johnville, TX 73884",Thomasview,Indiana,"35397",United States
71,TM772,1,"2026-05-13 19:02:29","2026-05-19 19:02:29","2026-05-17 19:02:29",7,202.56,Smith LtdRetail Company,"598 Perez Street Suite 718
Fischerbury, LA 43039",South Reginamouth,Tennessee,"52408",United States
72,OE837,6,"2026-01-26 22:09:11","2026-01-30 22:09:11","2026-01-31 22:09:11",8,247.56,Smith GroupOnline Marketplace Seller,"09044 Stephanie Summit Suite 494
West Valerie, CA 77895",Lake Jenniferbury,New Mexico,"57548",United States
73,UV185,10,"2024-12-07 05:16:33","2024-12-20 05:16:33","2024-12-10 05:16:33",7,75.82,Travis LLCAppliance Retailer,"635 Shannon Knolls
North Kevin, OH 27527",East Sherri,North Dakota,"49051",United States
74,ZP972,1,"2026-05-24 23:38:09","2026-05-30 23:38:09","2026-05-28 23:38:09",2,235.06,"Willis, Williams and GrayHome Improvement Store","67178 Hamilton Parkways Apt. 655
Lake Jason, MI 19425",Chapmanmouth,Alabama,"75036",United States
75,HY451,1,"2024-08-10 21:27:29","2024-08-15 21:27:29","2024-08-12 21:27:29",8,185.55,Bradshaw PLCSmart Home Installer,"273 Jones Creek
Thomasside, OH 61268",Coleside,Michigan,"02926",United States
76,XS276,18,"2025-11-15 00:32:44","2025-11-23 00:32:44","2025-11-19 00:32:44",9,120.62,James GroupSmall Business,"15780 Anderson Village
Wilsonfurt, RI 71796",North Alexander,Alabama,"11552",United States
77,ZA627,12,"2025-05-26 03:31:40","2025-06-03 03:31:40","2025-05-27 03:31:40",3,406.50,Gray-HansenRetail Company,"295 Melissa Loaf
New Aprilshire, WV 00661",West Kevin,Oklahoma,"87028",United States
78,RG949,17,"2024-09-07 18:28:25","2024-09-12 18:28:25","2024-09-08 18:28:25",6,186.69,Lynch-WatsonSmall Business,"96936 Cummings Spur
Loristad, MS 01136",West Justinburgh,Texas,"73128",United States
79,EG092,12,"2026-01-08 08:19:02","2026-01-16 08:19:02","2026-01-10 08:19:02",3,232.52,"Carter, Weber and JenkinsFacility Management Company","4194 Rhonda Pike Apt. 854
Stephenborough, AS 77606",West Brianton,Illinois,"73954",United States
80,RN037,6,"2025-09-19 03:02:42","2025-09-23 03:02:42","2025-09-21 03:02:42",8,384.74,Stewart-DavisRetail Company,"38878 Anthony Port
Amandabury, CT 51572",Jessehaven,Arizona,"34183",United States
81,PK065,15,"2025-04-03 19:00:33","2025-04-16 19:00:33","2025-04-08 19:00:33",7,305.21,"Lee, Stevens and SweeneyIT Services Company","6445 Emily Parkway Suite 463
Hoganborough, ID 34148",New Robert,Illinois,"34316",United States
82,MW797,20,"2025-12-30 19:31:49","2026-01-09 19:31:49","2025-12-31 19:31:49",7,456.80,Gordon LLCE-commerce Company,"92158 Devin Knolls Apt. 712
Ramirezton, PR 76514",Port Caitlynton,Louisiana,"97082",United States
83,UA828,2,"2026-04-19 19:57:40","2026-04-24 19:57:40","2026-04-20 19:57:40",9,168.45,Castillo PLCHome Improvement Store,"USNS Evans
FPO AP 76921",West Scott,Arizona,"33036",United States
84,ID078,7,"2026-04-06 10:14:26","2026-04-11 10:14:26","2026-04-07 10:14:26",7,33.31,English IncSecurity Service Provider,"736 Jessica Route
Coleview, AL 61951",Murillostad,Montana,"53999",United States
85,JI223,15,"2025-02-19 15:19:23","2025-02-26 15:19:23","2025-02-22 15:19:23",10,291.48,"Garner, Wright and ShawSmart Home Installer","06293 Wood Manor
Mcdonaldburgh, AK 25088",Kellyborough,Connecticut,"94606",United States
86,ZP972,2,"2025-04-18 17:49:36","2025-05-02 17:49:36","2025-04-19 17:49:36",5,447.31,"Willis, Williams and GrayHome Improvement Store","67178 Hamilton Parkways Apt. 655
Lake Jason, MI 19425",Chapmanmouth,Alabama,"75036",United States
87,ZY562,13,"2025-01-19 19:28:01","2025-01-23 19:28:01","2025-01-24 19:28:01",9,175.02,Fox-GreenProperty Management Company,"Unit 8497 Box 8966
DPO AA 72595",Robertmouth,New York,"98200",United States
88,PK065,10,"2026-01-29 09:32:53","2026-02-06 09:32:53","2026-01-30 09:32:53",1,76.24,"Lee, Stevens and SweeneyIT Services Company","6445 Emily Parkway Suite 463
Hoganborough, ID 34148",New Robert,Illinois,"34316",United States
89,UD950,16,"2026-05-02 05:11:49","2026-05-06 05:11:49","2026-05-04 05:11:49",4,73.07,"Peterson, Mccoy and RodriguezOnline Marketplace Seller","920 Austin Roads Suite 851
Belltown, SD 25437",West Whitneychester,Oregon,"53861",United States
90,NZ483,20,"2026-02-21 08:11:03","2026-02-27 08:11:03","2026-02-26 08:11:03",4,65.52,Nelson-BryantE-commerce Company,"6384 Johnson Crescent Suite 868
Pattersonburgh, FM 52740",Marissaside,Michigan,"56147",United States
91,JJ935,16,"2026-05-28 12:34:00","2026-06-06 12:34:00","2026-06-02 12:34:00",4,459.99,"Banks, Andrews and HickmanSmall Business","98508 Archer Creek
Ericfort, MI 17095",Scottport,South Dakota,"27226",United States
92,OE837,13,"2024-06-21 02:20:04","2024-06-29 02:20:04","2024-06-22 02:20:04",6,395.66,Smith GroupOnline Marketplace Seller,"09044 Stephanie Summit Suite 494
West Valerie, CA 77895",Lake Jenniferbury,New Mexico,"57548",United States
93,UN313,13,"2024-07-04 18:35:54","2024-07-11 18:35:54","2024-07-07 18:35:54",7,179.43,Archer and SonsTechnology Startup,"USNS Smith
FPO AA 80104",Port Jill,Wisconsin,"33572",United States
94,QC191,8,"2024-08-24 23:02:23","2024-09-07 23:02:23","2024-08-28 23:02:23",9,254.29,Mccormick-LevyReal Estate Company,"04672 Nelson Vista
Collinsberg, OK 62686",South Sherry,West Virginia,"29415",United States
95,HY451,9,"2024-08-03 07:35:02","2024-08-16 07:35:02",,5,210.36,Bradshaw PLCSmart Home Installer,"273 Jones Creek
Thomasside, OH 61268",Coleside,Michigan,"02926",United States
96,RN037,12,"2024-06-16 15:02:41","2024-06-21 15:02:41",,5,43.32,Stewart-DavisRetail Company,"38878 Anthony Port
Amandabury, CT 51572",Jessehaven,Arizona,"34183",United States
97,AI186,14,"2025-08-22 18:03:40","2025-08-31 18:03:40","2025-08-26 18:03:40",6,73.40,Robinson GroupHome Improvement Store,"USS Henry
FPO AA 19576",Glassland,Indiana,"62924",United States
98,UG099,9,"2026-02-26 15:43:04","2026-03-08 15:43:04","2026-02-28 15:43:04",4,403.87,Wright IncIT Services Company,"3718 Keith Landing
Robertmouth, WA 66206",North Kevinside,South Carolina,"11054",United States
99,RN037,7,"2026-02-03 10:49:14","2026-02-07 10:49:14",,3,481.36,Stewart-DavisRetail Company,"38878 Anthony Port
Amandabury, CT 51572",Jessehaven,Arizona,"34183",United States
100,AI186,12,"2026-02-16 17:19:48","2026-02-25 17:19:48","2026-02-18 17:19:48",9,400.52,Robinson GroupHome Improvement Store,"USS Henry
FPO AA 19576",Glassland,Indiana,"62924",United States
101,PK065,12,"2024-07-13 10:50:47","2024-07-19 10:50:47","2024-07-14 10:50:47",6,22.45,"Lee, Stevens and SweeneyIT Services Company","6445 Emily Parkway Suite 463
Hoganborough, ID 34148",New Robert,Illinois,"34316",United States
102,PU637,13,"2026-05-13 22:52:49","2026-05-24 22:52:49",,6,413.54,Fox and SonsTechnology Startup,"41470 Logan Walks Suite 308
Galvanberg, FL 39150",North Jenniferfort,Kansas,"57591",United States
103,UD654,19,"2026-03-26 09:19:58","2026-03-31 09:19:58","2026-03-29 09:19:58",7,20.26,Morrison-KellySecurity Service Provider,"35449 Eddie Land Apt. 758
South Antonio, GA 86076",North Robert,Connecticut,"75344",United States
104,SO908,11,"2024-07-20 17:37:05","2024-07-23 17:37:05","2024-07-25 17:37:05",6,260.44,Barry IncConsumer Electronics Store,"21084 Sara Center Suite 817
North Deannastad, TX 00650",Tylerhaven,Texas,"88263",United States
105,ET738,6,"2025-08-07 21:36:09","2025-08-11 21:36:09","2025-08-11 21:36:09",2,247.98,"Chase, Scott and WebbIT Services Company","24985 Scott Drive
Thomaston, WI 78681",Coffeymouth,Connecticut,"91290",United States
106,OE837,2,"2025-10-09 12:33:40","2025-10-21 12:33:40","2025-10-10 12:33:40",1,150.40,Smith GroupOnline Marketplace Seller,"09044 Stephanie Summit Suite 494
West Valerie, CA 77895",Lake Jenniferbury,New Mexico,"57548",United States
107,CB552,11,"2025-12-04 07:42:06","2025-12-12 07:42:06","2025-12-05 07:42:06",3,391.78,Hendricks IncOnline Marketplace Seller,"255 Adams Skyway Suite 847
Mariaborough, PW 11530",Lake Ashley,Alaska,"41234",United States
108,IU348,5,"2024-07-02 20:48:26","2024-07-13 20:48:26",,2,67.72,Brooks and SonsProperty Management Company,"24210 Abigail Fort Suite 714
East Kyleland, AR 59968",West Carolside,Illinois,"05663",United States
109,FN752,20,"2025-01-20 04:45:05","2025-02-03 04:45:05","2025-01-21 04:45:05",1,241.37,James PLCRetail Company,"60393 Robles Isle Suite 879
New Karenport, MD 44471",Debrashire,Nevada,"86533",United States
110,NZ483,14,"2025-09-09 03:31:24","2025-09-23 03:31:24","2025-09-11 03:31:24",7,262.09,Nelson-BryantE-commerce Company,"6384 Johnson Crescent Suite 868
Pattersonburgh, FM 52740",Marissaside,Michigan,"56147",United States
111,GV152,19,"2025-03-24 09:43:15","2025-04-07 09:43:15",,10,366.72,Barnes LLCE-commerce Company,"8711 Oliver Street
New Raven, WY 24004",Port Denise,Oklahoma,"44016",United States
112,TR797,13,"2024-06-29 02:29:51","2024-07-06 02:29:51",,5,302.51,Johnson IncAppliance Retailer,"1458 Terri Brooks
Leonchester, KS 89108",Bryantview,Texas,"06170",United States
113,IU348,3,"2024-12-25 11:20:34","2025-01-06 11:20:34",,10,496.96,Brooks and SonsProperty Management Company,"24210 Abigail Fort Suite 714
East Kyleland, AR 59968",West Carolside,Illinois,"05663",United States
114,XS276,12,"2025-04-18 13:34:38","2025-04-25 13:34:38","2025-04-19 13:34:38",4,29.51,James GroupSmall Business,"15780 Anderson Village
Wilsonfurt, RI 71796",North Alexander,Alabama,"11552",United States
115,AY360,18,"2026-04-24 09:20:01","2026-05-03 09:20:01","2026-04-29 09:20:01",5,193.08,Thompson LLCSecurity Service Provider,"USNS Orr
FPO AA 09718",Josefort,Arizona,"43257",United States
116,NN992,7,"2025-07-18 23:00:55","2025-07-27 23:00:55","2025-07-21 23:00:55",8,190.75,Lin-CaseyTechnology Startup,"032 Lisa Plains
Jordanside, PA 38606",Loganside,Nebraska,"93877",United States
117,DX546,10,"2026-02-06 04:27:31","2026-02-15 04:27:31","2026-02-11 04:27:31",8,492.00,"Warner, Horton and RobertsIT Services Company","972 Thomas Pike Apt. 092
Dennisport, AR 65984",Anastad,South Carolina,"40837",United States
118,JI223,7,"2025-05-05 16:33:53","2025-05-19 16:33:53",,4,352.61,"Garner, Wright and ShawSmart Home Installer","06293 Wood Manor
Mcdonaldburgh, AK 25088",Kellyborough,Connecticut,"94606",United States
119,UC855,4,"2025-01-14 07:02:21","2025-01-21 07:02:21","2025-01-16 07:02:21",8,388.58,Smith LLCInterior Design Studio,"06106 Catherine Loaf
New Michaelside, DC 74835",Jordanberg,Oklahoma,"69600",United States
120,GH572,16,"2025-06-27 21:31:57","2025-07-01 21:31:57",,8,31.96,Dunn GroupIT Services Company,"55873 Eric Common
Lake Virginia, OR 20386",Hensleyhaven,Florida,"28858",United States
121,YQ009,3,"2025-12-07 13:20:07","2025-12-15 13:20:07","2025-12-11 13:20:07",4,497.77,Liu GroupIT Services Company,"PSC 6892, Box 2582
APO AA 44003",East Anafurt,New Mexico,"14926",United States
122,HB552,12,"2025-09-04 16:22:30","2025-09-07 16:22:30","2025-09-08 16:22:30",1,393.18,"Meyer, Reese and McdanielSecurity Service Provider","27781 Ashley Glens Suite 827
North Brooke, NM 01850",East Ryan,Maryland,"86180",United States
