:START_ID(Review),:END_ID(Product),:TYPE
2031,49,ABOUT
2196,77,ABOUT
2950,37,ABOUT
300,59,ABOUT
499,39,ABOUT
606,5,ABOUT
3259,91,ABOUT
3975,54,ABOUT
4086,17,ABOUT
1717,84,ABOUT
1987,51,ABOUT
4638,29,ABOUT
4899,23,ABOUT
305,28,ABOUT
467,27,ABOUT
1030,34,ABOUT
490,29,ABOUT
1280,86,ABOUT
1319,73,ABOUT
2275,84,ABOUT
2695,5,ABOUT
1928,89,ABOUT
1998,3,ABOUT
2043,18,ABOUT
2437,5,ABOUT
2605,7,ABOUT
3257,69,ABOUT
3616,16,ABOUT
3852,75,ABOUT
4181,68,ABOUT
4808,98,ABOUT
4482,20,ABOUT
277,60,ABOUT
655,24,ABOUT
1507,20,ABOUT
2284,78,ABOUT
2381,92,ABOUT
3947,31,ABOUT
3507,55,ABOUT
446,49,ABOUT
1562,48,ABOUT
2082,65,ABOUT
2346,41,ABOUT
3294,78,ABOUT
1383,97,ABOUT
868,20,ABOUT
947,73,ABOUT
1814,5,ABOUT
2204,11,ABOUT
2397,49,ABOUT
3200,26,ABOUT
3598,27,ABOUT
3265,95,ABOUT
3761,28,ABOUT
4000,44,ABOUT
4351,88,ABOUT
341,79,ABOUT
695,72,ABOUT
1491,81,ABOUT
4659,35,ABOUT
4822,91,ABOUT
118,48,ABOUT
1288,75,ABOUT
1406,62,ABOUT
4101,7,ABOUT
2104,77,ABOUT
1522,42,ABOUT
2388,17,ABOUT
4841,97,ABOUT
4900,86,ABOUT
4424,12,ABOUT
3593,95,ABOUT
3755,40,ABOUT
4087,44,ABOUT
2028,22,ABOUT
2240,97,ABOUT
2519,57,ABOUT
2656,35,ABOUT
218,16,ABOUT
301,30,ABOUT
729,77,ABOUT
4776,79,ABOUT
1765,38,ABOUT
3790,86,ABOUT
3850,46,ABOUT
4316,35,ABOUT
640,30,ABOUT
789,91,ABOUT
975,68,ABOUT
908,70,ABOUT
1387,96,ABOUT
1633,42,ABOUT
2334,39,ABOUT
4980,68,ABOUT
3542,40,ABOUT
3853,89,ABOUT
3528,13,ABOUT
4045,34,ABOUT
1751,35,ABOUT
2274,99,ABOUT
584,27,ABOUT
1483,19,ABOUT
4466,80,ABOUT
4479,19,ABOUT
1555,34,ABOUT
2362,93,ABOUT
3129,44,ABOUT
3356,35,ABOUT
3603,74,ABOUT
3917,56,ABOUT
4246,39,ABOUT
27,14,ABOUT
743,20,ABOUT
1135,97,ABOUT
826,33,ABOUT
2502,52,ABOUT
2837,26,ABOUT
4976,32,ABOUT
2992,26,ABOUT
3533,70,ABOUT
3900,82,ABOUT
4062,16,ABOUT
4215,47,ABOUT
1587,77,ABOUT
130,61,ABOUT
489,53,ABOUT
1461,45,ABOUT
4787,40,ABOUT
4688,29,ABOUT
1524,61,ABOUT
2914,86,ABOUT
3972,50,ABOUT
3009,68,ABOUT
1803,66,ABOUT
2156,44,ABOUT
368,37,ABOUT
3042,9,ABOUT
4497,78,ABOUT
4733,15,ABOUT
4791,31,ABOUT
2094,93,ABOUT
2243,74,ABOUT
2881,76,ABOUT
1708,62,ABOUT
2118,82,ABOUT
2559,21,ABOUT
2952,20,ABOUT
3292,5,ABOUT
3954,62,ABOUT
248,7,ABOUT
1450,39,ABOUT
4591,56,ABOUT
4596,19,ABOUT
4849,93,ABOUT
3343,73,ABOUT
3514,9,ABOUT
2394,49,ABOUT
2513,5,ABOUT
1097,68,ABOUT
1310,98,ABOUT
408,29,ABOUT
1395,68,ABOUT
3886,39,ABOUT
4788,14,ABOUT
4943,44,ABOUT
1811,90,ABOUT
1935,69,ABOUT
2898,26,ABOUT
1520,53,ABOUT
2001,65,ABOUT
3399,24,ABOUT
219,43,ABOUT
4553,36,ABOUT
4933,96,ABOUT
4682,92,ABOUT
2990,87,ABOUT
4061,33,ABOUT
1613,99,ABOUT
104,55,ABOUT
333,66,ABOUT
405,18,ABOUT
1044,43,ABOUT
50,25,ABOUT
288,42,ABOUT
328,92,ABOUT
501,26,ABOUT
627,11,ABOUT
1435,34,ABOUT
4029,84,ABOUT
4545,43,ABOUT
1586,77,ABOUT
2125,22,ABOUT
2560,59,ABOUT
2931,27,ABOUT
2058,74,ABOUT
196,73,ABOUT
4748,21,ABOUT
1631,6,ABOUT
2136,27,ABOUT
3993,98,ABOUT
647,29,ABOUT
92,72,ABOUT
834,34,ABOUT
2644,52,ABOUT
2959,88,ABOUT
4829,59,ABOUT
3456,66,ABOUT
3229,41,ABOUT
4184,95,ABOUT
1722,61,ABOUT
1849,60,ABOUT
1966,34,ABOUT
2475,36,ABOUT
2757,15,ABOUT
1348,60,ABOUT
4753,11,ABOUT
4954,60,ABOUT
2093,10,ABOUT
2303,21,ABOUT
2636,36,ABOUT
3464,63,ABOUT
1196,23,ABOUT
1238,65,ABOUT
1479,77,ABOUT
895,54,ABOUT
925,9,ABOUT
1231,58,ABOUT
2467,13,ABOUT
4989,94,ABOUT
3035,2,ABOUT
3518,26,ABOUT
3706,15,ABOUT
4260,18,ABOUT
4327,57,ABOUT
1867,66,ABOUT
1879,13,ABOUT
1121,46,ABOUT
169,69,ABOUT
983,63,ABOUT
4249,39,ABOUT
4493,27,ABOUT
145,83,ABOUT
315,81,ABOUT
952,82,ABOUT
1581,83,ABOUT
3033,71,ABOUT
4274,63,ABOUT
4195,13,ABOUT
81,69,ABOUT
721,17,ABOUT
1088,95,ABOUT
2145,20,ABOUT
2456,97,ABOUT
2904,13,ABOUT
1951,32,ABOUT
2351,34,ABOUT
3223,27,ABOUT
3832,68,ABOUT
1344,49,ABOUT
1009,71,ABOUT
2241,22,ABOUT
2431,21,ABOUT
3171,99,ABOUT
3228,30,ABOUT
3509,46,ABOUT
3862,99,ABOUT
4386,94,ABOUT
4449,51,ABOUT
4317,67,ABOUT
365,91,ABOUT
2069,72,ABOUT
2960,82,ABOUT
3071,44,ABOUT
4347,23,ABOUT
4655,21,ABOUT
4956,68,ABOUT
172,65,ABOUT
261,16,ABOUT
623,26,ABOUT
720,53,ABOUT
1171,91,ABOUT
3956,52,ABOUT
2545,61,ABOUT
2011,57,ABOUT
4155,45,ABOUT
353,76,ABOUT
674,17,ABOUT
1316,29,ABOUT
1456,89,ABOUT
4694,27,ABOUT
4907,90,ABOUT
3506,54,ABOUT
3575,52,ABOUT
3595,96,ABOUT
2164,59,ABOUT
2251,10,ABOUT
2853,55,ABOUT
509,21,ABOUT
1107,38,ABOUT
529,60,ABOUT
562,95,ABOUT
576,22,ABOUT
887,64,ABOUT
1273,95,ABOUT
3153,16,ABOUT
3724,31,ABOUT
3774,88,ABOUT
3996,83,ABOUT
3024,82,ABOUT
4027,13,ABOUT
4199,44,ABOUT
4408,73,ABOUT
215,20,ABOUT
1254,14,ABOUT
2603,12,ABOUT
2215,7,ABOUT
2597,37,ABOUT
198,60,ABOUT
433,33,ABOUT
770,87,ABOUT
1367,70,ABOUT
182,64,ABOUT
459,42,ABOUT
1325,17,ABOUT
1409,100,ABOUT
4443,10,ABOUT
2305,84,ABOUT
2426,80,ABOUT
2626,93,ABOUT
2750,16,ABOUT
4472,57,ABOUT
3478,100,ABOUT
3139,61,ABOUT
3555,82,ABOUT
1773,62,ABOUT
2538,32,ABOUT
62,22,ABOUT
1020,31,ABOUT
1100,13,ABOUT
273,7,ABOUT
595,55,ABOUT
1426,85,ABOUT
1839,34,ABOUT
2311,95,ABOUT
2653,54,ABOUT
2778,67,ABOUT
3520,45,ABOUT
3743,44,ABOUT
4583,6,ABOUT
4997,34,ABOUT
2797,51,ABOUT
662,36,ABOUT
1067,70,ABOUT
1134,15,ABOUT
1301,3,ABOUT
3376,5,ABOUT
4190,64,ABOUT
1919,96,ABOUT
4761,56,ABOUT
987,8,ABOUT
2138,54,ABOUT
2694,30,ABOUT
3320,97,ABOUT
4064,31,ABOUT
3732,35,ABOUT
4069,83,ABOUT
2105,70,ABOUT
2242,10,ABOUT
4603,65,ABOUT
4864,41,ABOUT
4745,82,ABOUT
3815,16,ABOUT
4222,17,ABOUT
4326,9,ABOUT
1237,73,ABOUT
2040,53,ABOUT
1948,27,ABOUT
2049,61,ABOUT
2091,93,ABOUT
2271,77,ABOUT
2297,78,ABOUT
3189,39,ABOUT
3875,7,ABOUT
4118,63,ABOUT
4407,53,ABOUT
362,23,ABOUT
748,77,ABOUT
954,10,ABOUT
534,78,ABOUT
1598,86,ABOUT
3275,97,ABOUT
3446,96,ABOUT
3744,51,ABOUT
3881,2,ABOUT
4187,35,ABOUT
397,54,ABOUT
917,38,ABOUT
1418,41,ABOUT
4792,53,ABOUT
4911,51,ABOUT
2163,13,ABOUT
2909,92,ABOUT
1569,29,ABOUT
2364,11,ABOUT
2376,25,ABOUT
250,50,ABOUT
1284,26,ABOUT
4039,99,ABOUT
4592,54,ABOUT
4628,37,ABOUT
4764,21,ABOUT
1335,99,ABOUT
1570,41,ABOUT
1623,76,ABOUT
1645,16,ABOUT
2499,68,ABOUT
3391,66,ABOUT
3609,72,ABOUT
4248,9,ABOUT
3204,89,ABOUT
4178,69,ABOUT
98,16,ABOUT
4796,43,ABOUT
4985,38,ABOUT
44,64,ABOUT
560,82,ABOUT
4097,7,ABOUT
1865,1,ABOUT
2184,3,ABOUT
1649,73,ABOUT
2019,52,ABOUT
946,63,ABOUT
4983,96,ABOUT
3475,32,ABOUT
4158,59,ABOUT
4216,35,ABOUT
293,45,ABOUT
478,36,ABOUT
936,84,ABOUT
2399,15,ABOUT
2450,84,ABOUT
2887,42,ABOUT
1936,95,ABOUT
2232,64,ABOUT
2410,19,ABOUT
2567,72,ABOUT
153,74,ABOUT
1499,39,ABOUT
2998,32,ABOUT
3359,23,ABOUT
4710,75,ABOUT
101,25,ABOUT
401,72,ABOUT
1215,96,ABOUT
2276,58,ABOUT
2421,23,ABOUT
3384,62,ABOUT
3580,38,ABOUT
3604,79,ABOUT
4264,47,ABOUT
4433,60,ABOUT
3100,35,ABOUT
4049,14,ABOUT
36,64,ABOUT
536,22,ABOUT
554,65,ABOUT
725,41,ABOUT
1427,13,ABOUT
843,74,ABOUT
1449,22,ABOUT
3476,80,ABOUT
3590,14,ABOUT
3955,54,ABOUT
4323,70,ABOUT
4345,71,ABOUT
3369,92,ABOUT
3452,49,ABOUT
703,11,ABOUT
747,38,ABOUT
1081,3,ABOUT
4512,10,ABOUT
4496,53,ABOUT
105,1,ABOUT
2997,9,ABOUT
3569,34,ABOUT
4291,69,ABOUT
4382,36,ABOUT
4426,62,ABOUT
1675,43,ABOUT
2524,32,ABOUT
2608,51,ABOUT
74,70,ABOUT
103,20,ABOUT
697,9,ABOUT
4462,64,ABOUT
3177,21,ABOUT
3728,77,ABOUT
4128,20,ABOUT
344,43,ABOUT
438,23,ABOUT
1842,70,ABOUT
4770,62,ABOUT
4901,64,ABOUT
4934,24,ABOUT
25,41,ABOUT
178,23,ABOUT
690,74,ABOUT
3062,65,ABOUT
2663,71,ABOUT
2547,89,ABOUT
93,6,ABOUT
322,79,ABOUT
3830,9,ABOUT
4048,43,ABOUT
4202,64,ABOUT
3267,45,ABOUT
4071,68,ABOUT
2025,50,ABOUT
4740,9,ABOUT
73,13,ABOUT
634,20,ABOUT
643,45,ABOUT
376,80,ABOUT
2729,25,ABOUT
2745,78,ABOUT
3408,88,ABOUT
3500,13,ABOUT
3682,18,ABOUT
4537,17,ABOUT
4508,29,ABOUT
4726,47,ABOUT
4762,65,ABOUT
275,78,ABOUT
1058,2,ABOUT
4210,91,ABOUT
4381,63,ABOUT
3124,42,ABOUT
3675,21,ABOUT
3953,48,ABOUT
3970,38,ABOUT
2404,85,ABOUT
636,67,ABOUT
795,5,ABOUT
1005,17,ABOUT
166,18,ABOUT
496,54,ABOUT
3036,24,ABOUT
4241,94,ABOUT
4563,22,ABOUT
2057,34,ABOUT
2277,50,ABOUT
1560,54,ABOUT
1982,91,ABOUT
2974,84,ABOUT
3424,65,ABOUT
4358,81,ABOUT
4448,57,ABOUT
708,41,ABOUT
1414,80,ABOUT
976,45,ABOUT
1303,88,ABOUT
1397,100,ABOUT
3169,73,ABOUT
3855,17,ABOUT
1531,95,ABOUT
1805,61,ABOUT
3290,35,ABOUT
3683,7,ABOUT
4330,86,ABOUT
352,88,ABOUT
453,79,ABOUT
4634,66,ABOUT
4873,8,ABOUT
3236,84,ABOUT
3586,39,ABOUT
1886,26,ABOUT
1916,4,ABOUT
1943,81,ABOUT
624,37,ABOUT
924,72,ABOUT
1051,72,ABOUT
1194,23,ABOUT
3987,9,ABOUT
3989,23,ABOUT
3999,18,ABOUT
4642,68,ABOUT
1554,74,ABOUT
1902,9,ABOUT
1969,76,ABOUT
242,82,ABOUT
710,59,ABOUT
4470,49,ABOUT
4912,36,ABOUT
1583,20,ABOUT
1642,59,ABOUT
1741,97,ABOUT
1847,25,ABOUT
1853,33,ABOUT
2586,88,ABOUT
3403,98,ABOUT
3789,53,ABOUT
189,6,ABOUT
239,41,ABOUT
1291,78,ABOUT
794,75,ABOUT
926,15,ABOUT
1848,94,ABOUT
2523,66,ABOUT
2668,62,ABOUT
3563,14,ABOUT
3777,22,ABOUT
4269,83,ABOUT
221,60,ABOUT
380,58,ABOUT
686,7,ABOUT
1104,81,ABOUT
1283,92,ABOUT
4799,64,ABOUT
2106,16,ABOUT
1539,2,ABOUT
32,86,ABOUT
865,46,ABOUT
3585,25,ABOUT
4782,43,ABOUT
409,9,ABOUT
914,29,ABOUT
2706,88,ABOUT
3494,33,ABOUT
3879,85,ABOUT
4297,14,ABOUT
3053,55,ABOUT
3310,16,ABOUT
937,52,ABOUT
1006,22,ABOUT
1664,10,ABOUT
1673,85,ABOUT
1901,5,ABOUT
2189,40,ABOUT
1111,59,ABOUT
1126,64,ABOUT
1208,43,ABOUT
373,88,ABOUT
407,24,ABOUT
3335,18,ABOUT
4014,23,ABOUT
1517,14,ABOUT
1526,92,ABOUT
2461,8,ABOUT
2143,48,ABOUT
2779,72,ABOUT
463,21,ABOUT
1177,38,ABOUT
4878,78,ABOUT
4013,83,ABOUT
4373,68,ABOUT
3326,16,ABOUT
4108,100,ABOUT
1170,63,ABOUT
1271,34,ABOUT
2946,6,ABOUT
1548,67,ABOUT
2485,73,ABOUT
2551,72,ABOUT
2576,52,ABOUT
1345,64,ABOUT
4293,5,ABOUT
4377,82,ABOUT
4455,22,ABOUT
3011,57,ABOUT
3262,4,ABOUT
3788,80,ABOUT
268,52,ABOUT
481,52,ABOUT
1003,57,ABOUT
1211,98,ABOUT
2292,36,ABOUT
1961,19,ABOUT
2645,43,ABOUT
2772,81,ABOUT
2866,33,ABOUT
3231,51,ABOUT
3581,49,ABOUT
3766,14,ABOUT
3915,47,ABOUT
2445,31,ABOUT
830,54,ABOUT
844,80,ABOUT
1286,46,ABOUT
4597,77,ABOUT
2285,11,ABOUT
2749,23,ABOUT
2785,23,ABOUT
2826,82,ABOUT
3280,39,ABOUT
3807,46,ABOUT
3925,85,ABOUT
4374,51,ABOUT
497,73,ABOUT
1503,87,ABOUT
54,16,ABOUT
174,42,ABOUT
1139,3,ABOUT
1350,18,ABOUT
1747,88,ABOUT
2508,56,ABOUT
4551,48,ABOUT
3477,58,ABOUT
3802,69,ABOUT
4052,16,ABOUT
4375,16,ABOUT
4063,7,ABOUT
2464,14,ABOUT
2575,50,ABOUT
57,65,ABOUT
4473,16,ABOUT
4559,66,ABOUT
4969,56,ABOUT
2158,51,ABOUT
2822,26,ABOUT
2845,52,ABOUT
3596,45,ABOUT
307,60,ABOUT
625,45,ABOUT
1022,43,ABOUT
523,76,ABOUT
616,57,ABOUT
1657,78,ABOUT
4576,37,ABOUT
4636,50,ABOUT
4705,19,ABOUT
4823,21,ABOUT
3416,83,ABOUT
3541,74,ABOUT
4259,1,ABOUT
1903,80,ABOUT
2324,33,ABOUT
2515,89,ABOUT
4483,74,ABOUT
4632,35,ABOUT
4839,75,ABOUT
3493,54,ABOUT
3791,48,ABOUT
3836,14,ABOUT
3919,87,ABOUT
4247,66,ABOUT
160,59,ABOUT
1444,52,ABOUT
2354,58,ABOUT
1699,72,ABOUT
1984,25,ABOUT
2678,44,ABOUT
3307,22,ABOUT
3773,77,ABOUT
3998,42,ABOUT
4640,11,ABOUT
119,85,ABOUT
406,22,ABOUT
1333,74,ABOUT
3273,46,ABOUT
3467,34,ABOUT
3961,39,ABOUT
4383,32,ABOUT
2133,61,ABOUT
2518,98,ABOUT
4886,24,ABOUT
4913,68,ABOUT
3078,14,ABOUT
3312,37,ABOUT
3443,69,ABOUT
455,79,ABOUT
650,40,ABOUT
1687,49,ABOUT
2016,75,ABOUT
2453,68,ABOUT
2634,18,ABOUT
2841,15,ABOUT
2225,8,ABOUT
3103,40,ABOUT
4065,37,ABOUT
500,7,ABOUT
569,59,ABOUT
571,82,ABOUT
1282,6,ABOUT
1391,16,ABOUT
3211,71,ABOUT
3523,47,ABOUT
1993,1,ABOUT
2447,62,ABOUT
2677,70,ABOUT
2967,47,ABOUT
4811,71,ABOUT
58,49,ABOUT
404,26,ABOUT
726,55,ABOUT
1532,91,ABOUT
3123,63,ABOUT
3130,36,ABOUT
3134,71,ABOUT
3315,43,ABOUT
4020,10,ABOUT
2751,31,ABOUT
2836,50,ABOUT
2879,77,ABOUT
416,56,ABOUT
1064,51,ABOUT
116,58,ABOUT
1953,69,ABOUT
2072,92,ABOUT
3686,83,ABOUT
4053,84,ABOUT
4133,58,ABOUT
4343,72,ABOUT
1624,48,ABOUT
1770,77,ABOUT
2193,59,ABOUT
2563,26,ABOUT
2828,92,ABOUT
2910,20,ABOUT
4994,45,ABOUT
3195,41,ABOUT
3869,4,ABOUT
3891,50,ABOUT
4122,38,ABOUT
4169,99,ABOUT
4314,97,ABOUT
312,49,ABOUT
1647,13,ABOUT
2954,42,ABOUT
2052,33,ABOUT
2579,47,ABOUT
2968,22,ABOUT
3762,75,ABOUT
4050,70,ABOUT
688,84,ABOUT
1260,77,ABOUT
1393,85,ABOUT
715,82,ABOUT
882,61,ABOUT
2773,100,ABOUT
4536,91,ABOUT
2987,78,ABOUT
4280,32,ABOUT
4385,87,ABOUT
4435,26,ABOUT
3250,91,ABOUT
1528,9,ABOUT
2919,11,ABOUT
4625,83,ABOUT
4643,31,ABOUT
4548,75,ABOUT
3764,3,ABOUT
965,56,ABOUT
129,19,ABOUT
3415,45,ABOUT
1782,49,ABOUT
1813,40,ABOUT
1925,91,ABOUT
2095,26,ABOUT
2139,73,ABOUT
2607,46,ABOUT
120,71,ABOUT
3287,69,ABOUT
4268,20,ABOUT
4302,70,ABOUT
4322,83,ABOUT
3327,22,ABOUT
3909,43,ABOUT
2316,85,ABOUT
2478,82,ABOUT
1199,79,ABOUT
386,83,ABOUT
730,53,ABOUT
1109,12,ABOUT
4294,61,ABOUT
2602,26,ABOUT
2124,89,ABOUT
67,40,ABOUT
400,38,ABOUT
717,67,ABOUT
1452,28,ABOUT
3018,48,ABOUT
3190,36,ABOUT
3466,64,ABOUT
3885,72,ABOUT
4440,72,ABOUT
2422,30,ABOUT
2956,54,ABOUT
943,39,ABOUT
1421,9,ABOUT
60,80,ABOUT
524,51,ABOUT
732,14,ABOUT
2985,27,ABOUT
3303,97,ABOUT
3694,54,ABOUT
4821,34,ABOUT
1863,13,ABOUT
2177,37,ABOUT
2635,2,ABOUT
1736,82,ABOUT
577,75,ABOUT
957,9,ABOUT
1243,40,ABOUT
1443,50,ABOUT
2438,41,ABOUT
2619,83,ABOUT
3448,26,ABOUT
4896,66,ABOUT
4664,38,ABOUT
1734,28,ABOUT
34,64,ABOUT
683,44,ABOUT
899,93,ABOUT
3186,40,ABOUT
2224,94,ABOUT
2871,96,ABOUT
4958,27,ABOUT
161,91,ABOUT
1328,42,ABOUT
8,3,ABOUT
791,12,ABOUT
1940,25,ABOUT
4669,23,ABOUT
266,96,ABOUT
3065,23,ABOUT
4362,25,ABOUT
1702,75,ABOUT
1838,59,ABOUT
1988,22,ABOUT
2764,71,ABOUT
2053,69,ABOUT
48,55,ABOUT
699,49,ABOUT
763,42,ABOUT
1436,24,ABOUT
4453,1,ABOUT
4018,53,ABOUT
4055,80,ABOUT
4203,67,ABOUT
1534,14,ABOUT
2889,62,ABOUT
613,18,ABOUT
755,84,ABOUT
802,89,ABOUT
1363,93,ABOUT
3601,72,ABOUT
3942,78,ABOUT
4736,92,ABOUT
4961,88,ABOUT
1606,73,ABOUT
2206,60,ABOUT
2912,66,ABOUT
1898,31,ABOUT
2032,54,ABOUT
817,97,ABOUT
1127,17,ABOUT
284,6,ABOUT
454,68,ABOUT
582,41,ABOUT
1677,48,ABOUT
3819,63,ABOUT
4186,33,ABOUT
1728,74,ABOUT
2186,42,ABOUT
1248,27,ABOUT
2357,1,ABOUT
3131,62,ABOUT
4457,76,ABOUT
4673,84,ABOUT
4995,89,ABOUT
4627,32,ABOUT
1582,46,ABOUT
2294,74,ABOUT
2481,14,ABOUT
2703,62,ABOUT
760,98,ABOUT
824,50,ABOUT
995,95,ABOUT
1145,84,ABOUT
3022,54,ABOUT
4447,14,ABOUT
2490,46,ABOUT
