:START_ID(Employee),:END_ID(Order),:TYPE
20,189,PROCESSED
11,190,PROCESSED
9,191,PROCESSED
19,192,PROCESSED
3,193,PROCESSED
10,194,PROCESSED
8,195,PROCESSED
18,196,PROCESSED
4,197,PROCESSED
13,198,PROCESSED
13,199,PROCESSED
18,200,PROCESSED
7,201,PROCESSED
19,202,PROCESSED
12,203,PROCESSED
7,204,PROCESSED
20,205,PROCESSED
12,206,PROCESSED
2,207,PROCESSED
14,208,PROCESSED
16,209,PROCESSED
10,210,PROCESSED
1,211,PROCESSED
6,212,PROCESSED
12,213,PROCESSED
2,214,PROCESSED
14,215,PROCESSED
18,216,PROCESSED
20,217,PROCESSED
7,218,PROCESSED
15,219,PROCESSED
11,220,PROCESSED
15,221,PROCESSED
15,222,PROCESSED
18,223,PROCESSED
18,224,PROCESSED
18,225,PROCESSED
6,226,PROCESSED
13,227,PROCESSED
4,228,PROCESSED
12,229,PROCESSED
13,230,PROCESSED
17,231,PROCESSED
11,232,PROCESSED
16,233,PROCESSED
11,234,PROCESSED
11,235,PROCESSED
3,236,PROCESSED
16,237,PROCESSED
8,238,PROCESSED
16,239,PROCESSED
12,240,PROCESSED
3,241,PROCESSED
8,242,PROCESSED
12,243,PROCESSED
8,244,PROCESSED
19,245,PROCESSED
13,246,PROCESSED
18,247,PROCESSED
5,248,PROCESSED
3,249,PROCESSED
11,250,PROCESSED
13,251,PROCESSED
7,252,PROCESSED
20,253,PROCESSED
14,254,PROCESSED
11,255,PROCESSED
14,256,PROCESSED
17,257,PROCESSED
20,258,PROCESSED
5,259,PROCESSED
5,260,PROCESSED
16,261,PROCESSED
12,262,PROCESSED
3,263,PROCESSED
14,264,PROCESSED
9,265,PROCESSED
15,266,PROCESSED
3,267,PROCESSED
13,268,PROCESSED
1,269,PROCESSED
9,270,PROCESSED
14,271,PROCESSED
10,272,PROCESSED
1,273,PROCESSED
14,274,PROCESSED
10,275,PROCESSED
15,276,PROCESSED
6,277,PROCESSED
18,278,PROCESSED
18,279,PROCESSED
5,280,PROCESSED
14,281,PROCESSED
6,282,PROCESSED
11,283,PROCESSED
20,284,PROCESSED
13,285,PROCESSED
12,286,PROCESSED
2,287,PROCESSED
13,288,PROCESSED
4,289,PROCESSED
4,290,PROCESSED
8,291,PROCESSED
11,292,PROCESSED
17,293,PROCESSED
2,294,PROCESSED
6,295,PROCESSED
7,296,PROCESSED
1,297,PROCESSED
14,298,PROCESSED
5,299,PROCESSED
11,300,PROCESSED
15,301,PROCESSED
15,302,PROCESSED
19,303,PROCESSED
12,304,PROCESSED
11,305,PROCESSED
18,306,PROCESSED
18,307,PROCESSED
8,308,PROCESSED
1,309,PROCESSED
9,310,PROCESSED
14,311,PROCESSED
13,312,PROCESSED
5,313,PROCESSED
7,314,PROCESSED
18,315,PROCESSED
8,316,PROCESSED
12,317,PROCESSED
12,318,PROCESSED
4,319,PROCESSED
10,320,PROCESSED
15,321,PROCESSED
5,322,PROCESSED
20,323,PROCESSED
15,324,PROCESSED
16,325,PROCESSED
5,326,PROCESSED
4,327,PROCESSED
8,328,PROCESSED
5,329,PROCESSED
11,330,PROCESSED
3,331,PROCESSED
14,332,PROCESSED
19,333,PROCESSED
8,334,PROCESSED
16,335,PROCESSED
18,336,PROCESSED
15,337,PROCESSED
9,338,PROCESSED
14,339,PROCESSED
18,340,PROCESSED
5,341,PROCESSED
14,342,PROCESSED
7,343,PROCESSED
16,344,PROCESSED
2,345,PROCESSED
8,346,PROCESSED
8,347,PROCESSED
6,348,PROCESSED
1,349,PROCESSED
15,350,PROCESSED
19,351,PROCESSED
11,352,PROCESSED
1,353,PROCESSED
7,354,PROCESSED
16,355,PROCESSED
14,356,PROCESSED
11,357,PROCESSED
4,358,PROCESSED
14,359,PROCESSED
11,360,PROCESSED
10,361,PROCESSED
17,362,PROCESSED
13,363,PROCESSED
10,364,PROCESSED
3,365,PROCESSED
17,366,PROCESSED
17,367,PROCESSED
2,368,PROCESSED
1,369,PROCESSED
12,370,PROCESSED
10,371,PROCESSED
5,372,PROCESSED
1,373,PROCESSED
4,374,PROCESSED
4,375,PROCESSED
20,376,PROCESSED
10,377,PROCESSED
13,378,PROCESSED
6,379,PROCESSED
8,380,PROCESSED
15,381,PROCESSED
12,382,PROCESSED
11,383,PROCESSED
1,384,PROCESSED
13,385,PROCESSED
1,386,PROCESSED
20,387,PROCESSED
18,388,PROCESSED
1,389,PROCESSED
20,390,PROCESSED
14,391,PROCESSED
16,392,PROCESSED
4,393,PROCESSED
15,394,PROCESSED
16,395,PROCESSED
9,396,PROCESSED
10,397,PROCESSED
1,398,PROCESSED
15,399,PROCESSED
15,400,PROCESSED
4,401,PROCESSED
11,402,PROCESSED
10,403,PROCESSED
3,404,PROCESSED
14,405,PROCESSED
4,406,PROCESSED
4,407,PROCESSED
15,408,PROCESSED
19,409,PROCESSED
7,410,PROCESSED
12,411,PROCESSED
10,412,PROCESSED
12,413,PROCESSED
14,414,PROCESSED
11,415,PROCESSED
1,416,PROCESSED
13,417,PROCESSED
20,418,PROCESSED
9,419,PROCESSED
19,420,PROCESSED
13,421,PROCESSED
17,422,PROCESSED
18,423,PROCESSED
12,424,PROCESSED
7,425,PROCESSED
1,426,PROCESSED
6,427,PROCESSED
8,428,PROCESSED
14,429,PROCESSED
4,430,PROCESSED
11,431,PROCESSED
12,432,PROCESSED
14,433,PROCESSED
20,434,PROCESSED
12,435,PROCESSED
8,436,PROCESSED
18,437,PROCESSED
11,438,PROCESSED
5,439,PROCESSED
12,440,PROCESSED
9,441,PROCESSED
18,442,PROCESSED
11,443,PROCESSED
16,444,PROCESSED
19,445,PROCESSED
10,446,PROCESSED
17,447,PROCESSED
4,448,PROCESSED
13,449,PROCESSED
13,450,PROCESSED
14,451,PROCESSED
1,452,PROCESSED
9,453,PROCESSED
19,454,PROCESSED
6,455,PROCESSED
15,456,PROCESSED
19,457,PROCESSED
6,458,PROCESSED
9,459,PROCESSED
10,460,PROCESSED
13,461,PROCESSED
14,462,PROCESSED
7,463,PROCESSED
18,464,PROCESSED
10,465,PROCESSED
15,466,PROCESSED
14,467,PROCESSED
2,468,PROCESSED
16,469,PROCESSED
16,470,PROCESSED
4,471,PROCESSED
10,472,PROCESSED
18,473,PROCESSED
20,474,PROCESSED
3,475,PROCESSED
12,476,PROCESSED
12,477,PROCESSED
10,478,PROCESSED
8,479,PROCESSED
11,480,PROCESSED
15,481,PROCESSED
4,482,PROCESSED
20,483,PROCESSED
9,484,PROCESSED
7,485,PROCESSED
5,486,PROCESSED
5,487,PROCESSED
14,488,PROCESSED
20,489,PROCESSED
8,490,PROCESSED
2,491,PROCESSED
3,492,PROCESSED
3,493,PROCESSED
8,494,PROCESSED
10,495,PROCESSED
14,496,PROCESSED
4,497,PROCESSED
10,498,PROCESSED
16,499,PROCESSED
3,500,PROCESSED
3,501,PROCESSED
15,502,PROCESSED
6,503,PROCESSED
20,504,PROCESSED
12,505,PROCESSED
6,506,PROCESSED
10,507,PROCESSED
14,508,PROCESSED
16,509,PROCESSED
8,510,PROCESSED
18,511,PROCESSED
9,512,PROCESSED
13,513,PROCESSED
2,514,PROCESSED
10,515,PROCESSED
10,516,PROCESSED
14,517,PROCESSED
2,518,PROCESSED
12,519,PROCESSED
2,520,PROCESSED
10,521,PROCESSED
7,522,PROCESSED
18,523,PROCESSED
11,524,PROCESSED
5,525,PROCESSED
17,526,PROCESSED
3,527,PROCESSED
12,528,PROCESSED
2,529,PROCESSED
14,530,PROCESSED
20,531,PROCESSED
8,532,PROCESSED
9,533,PROCESSED
5,534,PROCESSED
1,535,PROCESSED
12,536,PROCESSED
4,537,PROCESSED
10,538,PROCESSED
13,539,PROCESSED
15,540,PROCESSED
4,541,PROCESSED
16,542,PROCESSED
9,543,PROCESSED
1,544,PROCESSED
1,545,PROCESSED
1,546,PROCESSED
6,547,PROCESSED
19,548,PROCESSED
5,549,PROCESSED
19,550,PROCESSED
2,551,PROCESSED
2,552,PROCESSED
3,553,PROCESSED
5,554,PROCESSED
13,555,PROCESSED
9,556,PROCESSED
16,557,PROCESSED
10,558,PROCESSED
12,559,PROCESSED
9,560,PROCESSED
13,561,PROCESSED
5,562,PROCESSED
10,563,PROCESSED
11,564,PROCESSED
9,565,PROCESSED
13,566,PROCESSED
6,567,PROCESSED
4,568,PROCESSED
18,569,PROCESSED
20,570,PROCESSED
17,571,PROCESSED
18,572,PROCESSED
1,573,PROCESSED
20,574,PROCESSED
11,575,PROCESSED
13,576,PROCESSED
9,577,PROCESSED
7,578,PROCESSED
15,579,PROCESSED
1,580,PROCESSED
15,581,PROCESSED
20,582,PROCESSED
4,583,PROCESSED
15,584,PROCESSED
4,585,PROCESSED
13,586,PROCESSED
6,587,PROCESSED
2,588,PROCESSED
17,589,PROCESSED
17,590,PROCESSED
2,591,PROCESSED
15,592,PROCESSED
13,593,PROCESSED
7,594,PROCESSED
12,595,PROCESSED
15,596,PROCESSED
18,597,PROCESSED
13,598,PROCESSED
15,599,PROCESSED
17,600,PROCESSED
16,601,PROCESSED
17,602,PROCESSED
4,603,PROCESSED
2,604,PROCESSED
8,605,PROCESSED
8,606,PROCESSED
17,607,PROCESSED
6,608,PROCESSED
3,609,PROCESSED
4,610,PROCESSED
6,611,PROCESSED
11,612,PROCESSED
11,613,PROCESSED
3,614,PROCESSED
12,615,PROCESSED
19,616,PROCESSED
6,617,PROCESSED
1,618,PROCESSED
18,619,PROCESSED
19,620,PROCESSED
16,621,PROCESSED
6,622,PROCESSED
6,623,PROCESSED
7,624,PROCESSED
19,625,PROCESSED
11,626,PROCESSED
19,627,PROCESSED
9,628,PROCESSED
15,629,PROCESSED
13,630,PROCESSED
6,631,PROCESSED
4,632,PROCESSED
11,633,PROCESSED
11,634,PROCESSED
14,635,PROCESSED
2,636,PROCESSED
3,637,PROCESSED
4,638,PROCESSED
12,639,PROCESSED
6,640,PROCESSED
14,641,PROCESSED
8,642,PROCESSED
18,643,PROCESSED
7,644,PROCESSED
3,645,PROCESSED
2,646,PROCESSED
20,647,PROCESSED
14,648,PROCESSED
5,649,PROCESSED
1,650,PROCESSED
12,651,PROCESSED
9,652,PROCESSED
17,653,PROCESSED
9,654,PROCESSED
12,655,PROCESSED
6,656,PROCESSED
12,657,PROCESSED
20,658,PROCESSED
3,659,PROCESSED
17,660,PROCESSED
1,661,PROCESSED
9,662,PROCESSED
16,663,PROCESSED
20,664,PROCESSED
14,665,PROCESSED
14,666,PROCESSED
16,667,PROCESSED
10,668,PROCESSED
4,669,PROCESSED
16,670,PROCESSED
1,671,PROCESSED
16,672,PROCESSED
15,673,PROCESSED
5,674,PROCESSED
13,675,PROCESSED
12,676,PROCESSED
8,677,PROCESSED
15,678,PROCESSED
14,679,PROCESSED
10,680,PROCESSED
14,681,PROCESSED
14,682,PROCESSED
6,683,PROCESSED
15,684,PROCESSED
13,685,PROCESSED
8,686,PROCESSED
14,687,PROCESSED
7,688,PROCESSED
9,689,PROCESSED
11,690,PROCESSED
7,691,PROCESSED
18,692,PROCESSED
15,693,PROCESSED
4,694,PROCESSED
17,695,PROCESSED
15,696,PROCESSED
2,697,PROCESSED
17,698,PROCESSED
4,699,PROCESSED
11,700,PROCESSED
18,701,PROCESSED
11,702,PROCESSED
10,703,PROCESSED
10,704,PROCESSED
9,705,PROCESSED
11,706,PROCESSED
4,707,PROCESSED
15,708,PROCESSED
17,709,PROCESSED
13,710,PROCESSED
5,711,PROCESSED
20,712,PROCESSED
6,713,PROCESSED
20,714,PROCESSED
4,715,PROCESSED
1,716,PROCESSED
6,717,PROCESSED
20,718,PROCESSED
17,719,PROCESSED
2,720,PROCESSED
9,721,PROCESSED
9,722,PROCESSED
4,723,PROCESSED
18,724,PROCESSED
9,725,PROCESSED
18,726,PROCESSED
10,727,PROCESSED
15,728,PROCESSED
19,729,PROCESSED
6,730,PROCESSED
4,731,PROCESSED
10,732,PROCESSED
20,733,PROCESSED
2,734,PROCESSED
11,735,PROCESSED
10,736,PROCESSED
1,737,PROCESSED
5,738,PROCESSED
10,739,PROCESSED
1,740,PROCESSED
8,741,PROCESSED
2,742,PROCESSED
2,743,PROCESSED
1,744,PROCESSED
12,745,PROCESSED
4,746,PROCESSED
5,747,PROCESSED
10,748,PROCESSED
6,749,PROCESSED
8,750,PROCESSED
10,751,PROCESSED
14,752,PROCESSED
20,753,PROCESSED
14,754,PROCESSED
3,755,PROCESSED
4,756,PROCESSED
5,757,PROCESSED
15,758,PROCESSED
19,759,PROCESSED
17,760,PROCESSED
5,761,PROCESSED
18,762,PROCESSED
15,763,PROCESSED
11,764,PROCESSED
2,765,PROCESSED
1,766,PROCESSED
11,767,PROCESSED
1,768,PROCESSED
1,769,PROCESSED
17,770,PROCESSED
14,771,PROCESSED
7,772,PROCESSED
9,773,PROCESSED
5,774,PROCESSED
6,775,PROCESSED
10,776,PROCESSED
17,777,PROCESSED
18,778,PROCESSED
10,779,PROCESSED
18,780,PROCESSED
16,781,PROCESSED
3,782,PROCESSED
6,783,PROCESSED
3,784,PROCESSED
2,785,PROCESSED
7,786,PROCESSED
18,787,PROCESSED
10,788,PROCESSED
15,789,PROCESSED
5,790,PROCESSED
14,791,PROCESSED
10,792,PROCESSED
5,793,PROCESSED
14,794,PROCESSED
15,795,PROCESSED
11,796,PROCESSED
2,797,PROCESSED
10,798,PROCESSED
18,799,PROCESSED
20,800,PROCESSED
11,801,PROCESSED
8,802,PROCESSED
18,803,PROCESSED
20,804,PROCESSED
4,805,PROCESSED
13,806,PROCESSED
2,807,PROCESSED
6,808,PROCESSED
5,809,PROCESSED
6,810,PROCESSED
10,811,PROCESSED
3,812,PROCESSED
15,813,PROCESSED
8,814,PROCESSED
1,815,PROCESSED
20,816,PROCESSED
8,817,PROCESSED
4,818,PROCESSED
2,819,PROCESSED
11,820,PROCESSED
16,821,PROCESSED
20,822,PROCESSED
14,823,PROCESSED
10,824,PROCESSED
5,825,PROCESSED
14,826,PROCESSED
19,827,PROCESSED
20,828,PROCESSED
14,829,PROCESSED
7,830,PROCESSED
1,831,PROCESSED
18,832,PROCESSED
12,833,PROCESSED
4,834,PROCESSED
5,835,PROCESSED
4,836,PROCESSED
1,837,PROCESSED
4,838,PROCESSED
6,839,PROCESSED
1,840,PROCESSED
11,841,PROCESSED
4,842,PROCESSED
8,843,PROCESSED
5,844,PROCESSED
1,845,PROCESSED
2,846,PROCESSED
1,847,PROCESSED
5,848,PROCESSED
18,849,PROCESSED
15,850,PROCESSED
8,851,PROCESSED
15,852,PROCESSED
18,853,PROCESSED
18,854,PROCESSED
20,855,PROCESSED
19,856,PROCESSED
11,857,PROCESSED
16,858,PROCESSED
11,859,PROCESSED
5,860,PROCESSED
7,861,PROCESSED
8,862,PROCESSED
7,863,PROCESSED
14,864,PROCESSED
20,865,PROCESSED
12,866,PROCESSED
13,867,PROCESSED
14,868,PROCESSED
20,869,PROCESSED
15,870,PROCESSED
12,871,PROCESSED
16,872,PROCESSED
7,873,PROCESSED
14,874,PROCESSED
9,875,PROCESSED
1,876,PROCESSED
16,877,PROCESSED
2,878,PROCESSED
9,879,PROCESSED
4,880,PROCESSED
4,881,PROCESSED
2,882,PROCESSED
13,883,PROCESSED
15,884,PROCESSED
6,885,PROCESSED
3,886,PROCESSED
6,887,PROCESSED
11,888,PROCESSED
14,889,PROCESSED
9,890,PROCESSED
7,891,PROCESSED
1,892,PROCESSED
15,893,PROCESSED
6,894,PROCESSED
15,895,PROCESSED
13,896,PROCESSED
8,897,PROCESSED
19,898,PROCESSED
17,899,PROCESSED
1,900,PROCESSED
12,901,PROCESSED
5,902,PROCESSED
14,903,PROCESSED
3,904,PROCESSED
8,905,PROCESSED
8,906,PROCESSED
11,907,PROCESSED
15,908,PROCESSED
14,909,PROCESSED
8,910,PROCESSED
1,911,PROCESSED
4,912,PROCESSED
15,913,PROCESSED
5,914,PROCESSED
6,915,PROCESSED
13,916,PROCESSED
9,917,PROCESSED
20,918,PROCESSED
9,919,PROCESSED
4,920,PROCESSED
18,921,PROCESSED
10,922,PROCESSED
14,923,PROCESSED
7,924,PROCESSED
3,925,PROCESSED
16,926,PROCESSED
7,927,PROCESSED
10,928,PROCESSED
8,929,PROCESSED
13,930,PROCESSED
7,931,PROCESSED
20,932,PROCESSED
13,933,PROCESSED
12,934,PROCESSED
11,935,PROCESSED
20,936,PROCESSED
11,937,PROCESSED
12,938,PROCESSED
18,939,PROCESSED
8,940,PROCESSED
10,941,PROCESSED
3,942,PROCESSED
13,943,PROCESSED
20,944,PROCESSED
14,945,PROCESSED
4,946,PROCESSED
15,947,PROCESSED
10,948,PROCESSED
4,949,PROCESSED
4,950,PROCESSED
18,951,PROCESSED
5,952,PROCESSED
8,953,PROCESSED
3,954,PROCESSED
19,955,PROCESSED
2,956,PROCESSED
8,957,PROCESSED
11,958,PROCESSED
2,959,PROCESSED
18,960,PROCESSED
18,961,PROCESSED
16,962,PROCESSED
6,963,PROCESSED
9,964,PROCESSED
19,965,PROCESSED
7,966,PROCESSED
19,967,PROCESSED
12,968,PROCESSED
17,969,PROCESSED
1,970,PROCESSED
4,971,PROCESSED
2,972,PROCESSED
17,973,PROCESSED
17,974,PROCESSED
11,975,PROCESSED
7,976,PROCESSED
10,977,PROCESSED
15,978,PROCESSED
10,979,PROCESSED
5,980,PROCESSED
10,981,PROCESSED
18,982,PROCESSED
13,983,PROCESSED
14,984,PROCESSED
16,985,PROCESSED
13,986,PROCESSED
1,987,PROCESSED
11,988,PROCESSED
19,989,PROCESSED
14,990,PROCESSED
6,991,PROCESSED
4,992,PROCESSED
3,993,PROCESSED
19,994,PROCESSED
5,995,PROCESSED
18,996,PROCESSED
17,997,PROCESSED
6,998,PROCESSED
2,999,PROCESSED
17,1000,PROCESSED
