:START_ID(Customer),:END_ID(Order),:TYPE
PK065,428,PLACED
RN037,429,PLACED
UV380,430,PLACED
SO908,431,PLACED
UN313,432,PLACED
GS970,433,PLACED
VO839,434,PLACED
GY227,435,PLACED
NQ228,436,PLACED
DR567,437,PLACED
ID078,438,PLACED
ZY562,439,PLACED
HF081,440,PLACED
NB019,441,PLACED
MX294,442,PLACED
HB552,443,PLACED
JO978,444,PLACED
TX494,445,PLACED
PN121,446,PLACED
TJ349,447,PLACED
NB002,448,PLACED
UD950,449,PLACED
QN420,450,PLACED
CB552,451,PLACED
KE304,452,PLACED
FR131,453,PLACED
ZA627,454,PLACED
BE531,455,PLACED
XW166,456,PLACED
DR567,457,PLACED
EO425,458,PLACED
NB002,459,PLACED
PK065,460,PLACED
AG377,461,PLACED
GY227,462,PLACED
RG949,463,PLACED
FM680,464,PLACED
ZY562,465,PLACED
RG949,466,PLACED
TJ349,467,PLACED
ID078,468,PLACED
TF836,469,PLACED
PK065,470,PLACED
TR797,471,PLACED
TI502,472,PLACED
TX494,473,PLACED
XW166,474,PLACED
UQ170,475,PLACED
FM680,476,PLACED
EG092,477,PLACED
DX546,478,PLACED
LP961,479,PLACED
UD950,480,PLACED
JJ935,481,PLACED
TK597,482,PLACED
YQ009,483,PLACED
OI217,484,PLACED
SO908,485,PLACED
SO908,486,PLACED
GV152,487,PLACED
BE531,488,PLACED
DX546,489,PLACED
XW166,490,PLACED
HB552,491,PLACED
PN121,492,PLACED
JO978,493,PLACED
NZ483,494,PLACED
DY566,495,PLACED
EO425,496,PLACED
MT817,497,PLACED
UQ170,498,PLACED
DX546,499,PLACED
EG092,500,PLACED
JO978,501,PLACED
VO839,502,PLACED
KE304,503,PLACED
UD950,504,PLACED
QO801,505,PLACED
FS045,506,PLACED
KE304,507,PLACED
TF836,508,PLACED
DV187,509,PLACED
UC855,510,PLACED
DV187,511,PLACED
ZY562,512,PLACED
AI186,513,PLACED
GY227,514,PLACED
RG949,515,PLACED
GH572,516,PLACED
TP845,517,PLACED
LT787,518,PLACED
AY360,519,PLACED
TZ806,520,PLACED
XW166,521,PLACED
CK028,522,PLACED
NQ228,523,PLACED
NZ483,524,PLACED
DR567,525,PLACED
NQ228,526,PLACED
NQ228,527,PLACED
QC191,528,PLACED
BN567,529,PLACED
UV185,530,PLACED
NB019,531,PLACED
UV380,532,PLACED
LV223,533,PLACED
JO978,534,PLACED
LP961,535,PLACED
ZY562,536,PLACED
ZY562,537,PLACED
OE837,538,PLACED
HF081,539,PLACED
FM680,540,PLACED
KE304,541,PLACED
MX294,542,PLACED
QC191,543,PLACED
ER267,544,PLACED
XW166,545,PLACED
NQ228,546,PLACED
TJ349,547,PLACED
RG949,548,PLACED
RG949,549,PLACED
RN037,550,PLACED
KT263,551,PLACED
KT263,552,PLACED
QN420,553,PLACED
RG949,554,PLACED
FR131,555,PLACED
UD654,556,PLACED
EO425,557,PLACED
GH572,558,PLACED
WQ694,559,PLACED
MX294,560,PLACED
UQ126,561,PLACED
DX546,562,PLACED
MU442,563,PLACED
JO498,564,PLACED
DY566,565,PLACED
XD471,566,PLACED
HF081,567,PLACED
FB602,568,PLACED
ZP972,569,PLACED
WR609,570,PLACED
NZ483,571,PLACED
NQ228,572,PLACED
GV152,573,PLACED
TZ806,574,PLACED
UN313,575,PLACED
EO425,576,PLACED
NN992,577,PLACED
FM680,578,PLACED
UQ126,579,PLACED
FN752,580,PLACED
VW282,581,PLACED
TF836,582,PLACED
JI223,583,PLACED
UX720,584,PLACED
OE837,585,PLACED
ZX420,586,PLACED
ZP972,587,PLACED
LV223,588,PLACED
CB552,589,PLACED
GU953,590,PLACED
DV187,591,PLACED
LC708,592,PLACED
MX294,593,PLACED
JO498,594,PLACED
TM772,595,PLACED
UC855,596,PLACED
OE837,597,PLACED
NN992,598,PLACED
FN752,599,PLACED
LC708,600,PLACED
QN420,601,PLACED
JO498,602,PLACED
WT163,603,PLACED
VO839,604,PLACED
UQ170,605,PLACED
NQ228,606,PLACED
ID078,607,PLACED
ES731,608,PLACED
XD471,609,PLACED
AY360,610,PLACED
SO908,611,PLACED
PN121,612,PLACED
PN121,613,PLACED
FR076,614,PLACED
QO801,615,PLACED
GY227,616,PLACED
YQ009,617,PLACED
CK028,618,PLACED
SO908,619,PLACED
DY566,620,PLACED
DV187,621,PLACED
DR567,622,PLACED
CK028,623,PLACED
BE531,624,PLACED
XS276,625,PLACED
ZP972,626,PLACED
LP961,627,PLACED
NQ516,628,PLACED
TX494,629,PLACED
MX294,630,PLACED
FB602,631,PLACED
HF081,632,PLACED
FS045,633,PLACED
WT163,634,PLACED
JJ935,635,PLACED
NZ483,636,PLACED
AI186,637,PLACED
OV175,638,PLACED
WT163,639,PLACED
OZ845,640,PLACED
ET738,641,PLACED
QN420,642,PLACED
MT817,643,PLACED
FR131,644,PLACED
US789,645,PLACED
GH572,646,PLACED
JO978,647,PLACED
FS045,648,PLACED
UD950,649,PLACED
PU637,650,PLACED
KE304,651,PLACED
DY566,652,PLACED
UN313,653,PLACED
RG949,654,PLACED
RG949,655,PLACED
DX546,656,PLACED
MW797,657,PLACED
EO425,658,PLACED
FR131,659,PLACED
AY360,660,PLACED
WR609,661,PLACED
UX720,662,PLACED
UN313,663,PLACED
FM680,664,PLACED
WR609,665,PLACED
US789,666,PLACED
GU953,667,PLACED
DR567,668,PLACED
QO801,669,PLACED
NB019,670,PLACED
NQ228,671,PLACED
NZ483,672,PLACED
TP845,673,PLACED
ER267,674,PLACED
XS276,675,PLACED
GY227,676,PLACED
GU953,677,PLACED
EO425,678,PLACED
ET738,679,PLACED
LP961,680,PLACED
TX494,681,PLACED
NB019,682,PLACED
TK597,683,PLACED
CB552,684,PLACED
XS276,685,PLACED
NZ483,686,PLACED
QC191,687,PLACED
GY227,688,PLACED
BE531,689,PLACED
AY360,690,PLACED
UX720,691,PLACED
CM221,692,PLACED
SO908,693,PLACED
UX720,694,PLACED
LV223,695,PLACED
IU348,696,PLACED
GH572,697,PLACED
WQ694,698,PLACED
UA828,699,PLACED
GU953,700,PLACED
PU637,701,PLACED
IU348,702,PLACED
FR131,703,PLACED
UV185,704,PLACED
TI502,705,PLACED
NN992,706,PLACED
TJ349,707,PLACED
AY360,708,PLACED
QC191,709,PLACED
ES731,710,PLACED
UA828,711,PLACED
BE531,712,PLACED
RN037,713,PLACED
EG092,714,PLACED
TR797,715,PLACED
TK597,716,PLACED
OE837,717,PLACED
MT817,718,PLACED
HY451,719,PLACED
BE531,720,PLACED
LT787,721,PLACED
JO978,722,PLACED
ZA627,723,PLACED
GU953,724,PLACED
TM772,725,PLACED
BN567,726,PLACED
TR797,727,PLACED
ID078,728,PLACED
UQ126,729,PLACED
FR076,730,PLACED
KE304,731,PLACED
MU442,732,PLACED
AY360,733,PLACED
WT163,734,PLACED
BN567,735,PLACED
LP961,736,PLACED
EG092,737,PLACED
AY360,738,PLACED
UV185,739,PLACED
JI223,740,PLACED
JO498,741,PLACED
WR609,742,PLACED
UD654,743,PLACED
ES731,744,PLACED
GS970,745,PLACED
NB002,746,PLACED
MU442,747,PLACED
FB602,748,PLACED
XD471,749,PLACED
CK028,750,PLACED
TM772,751,PLACED
TZ806,752,PLACED
QO801,753,PLACED
UC855,754,PLACED
PN121,755,PLACED
WR609,756,PLACED
XS276,757,PLACED
TX494,758,PLACED
JI223,759,PLACED
ZY562,760,PLACED
AI186,761,PLACED
AG377,762,PLACED
VW282,763,PLACED
NB002,764,PLACED
QN420,765,PLACED
UQ126,766,PLACED
AG377,767,PLACED
AY360,768,PLACED
BE531,769,PLACED
XW166,770,PLACED
UX720,771,PLACED
DR567,772,PLACED
HF081,773,PLACED
ZA627,774,PLACED
KT263,775,PLACED
OI217,776,PLACED
MT817,777,PLACED
FR076,778,PLACED
CM221,779,PLACED
UG099,780,PLACED
PU637,781,PLACED
JO498,782,PLACED
JO498,783,PLACED
JJ935,784,PLACED
FM680,785,PLACED
GS970,786,PLACED
ZP972,787,PLACED
TR797,788,PLACED
BN567,789,PLACED
TZ806,790,PLACED
NN992,791,PLACED
ET738,792,PLACED
LP961,793,PLACED
OI217,794,PLACED
TR797,795,PLACED
TI502,796,PLACED
PN121,797,PLACED
XW166,798,PLACED
ZY562,799,PLACED
AI186,800,PLACED
AY360,801,PLACED
ZY562,802,PLACED
TI502,803,PLACED
GV152,804,PLACED
TX494,805,PLACED
HY451,806,PLACED
UG099,807,PLACED
BN567,808,PLACED
JI223,809,PLACED
UG099,810,PLACED
SO908,811,PLACED
QO801,812,PLACED
CM221,813,PLACED
AG377,814,PLACED
VW282,815,PLACED
CM221,816,PLACED
UV185,817,PLACED
UQ170,818,PLACED
LT787,819,PLACED
CM221,820,PLACED
ZA627,821,PLACED
VW282,822,PLACED
HB552,823,PLACED
QO801,824,PLACED
AI186,825,PLACED
OI217,826,PLACED
CB552,827,PLACED
ZY562,828,PLACED
DV187,829,PLACED
TR797,830,PLACED
UA828,831,PLACED
NN992,832,PLACED
JJ935,833,PLACED
XW166,834,PLACED
UQ170,835,PLACED
BN567,836,PLACED
AG377,837,PLACED
XS276,838,PLACED
US789,839,PLACED
QO801,840,PLACED
WR609,841,PLACED
XS276,842,PLACED
YQ009,843,PLACED
LP961,844,PLACED
UA828,845,PLACED
GU953,846,PLACED
DX546,847,PLACED
MX294,848,PLACED
PU637,849,PLACED
WR609,850,PLACED
NZ483,851,PLACED
UV185,852,PLACED
TZ806,853,PLACED
FN752,854,PLACED
UD950,855,PLACED
ET738,856,PLACED
UD950,857,PLACED
OZ845,858,PLACED
ZX420,859,PLACED
EG092,860,PLACED
UX720,861,PLACED
VW282,862,PLACED
GY227,863,PLACED
GU953,864,PLACED
UQ126,865,PLACED
DV187,866,PLACED
CM221,867,PLACED
UA828,868,PLACED
QC191,869,PLACED
NZ483,870,PLACED
WR609,871,PLACED
RN037,872,PLACED
OV175,873,PLACED
HY451,874,PLACED
DR567,875,PLACED
PN121,876,PLACED
DX546,877,PLACED
UN313,878,PLACED
JI223,879,PLACED
JI223,880,PLACED
NN992,881,PLACED
TI502,882,PLACED
UV185,883,PLACED
KT263,884,PLACED
HB552,885,PLACED
HY451,886,PLACED
EG092,887,PLACED
FN752,888,PLACED
FN752,889,PLACED
LT787,890,PLACED
PN121,891,PLACED
LT787,892,PLACED
AI186,893,PLACED
UD950,894,PLACED
OV175,895,PLACED
HY451,896,PLACED
TK597,897,PLACED
YQ009,898,PLACED
CM221,899,PLACED
GU953,900,PLACED
FM680,901,PLACED
FR076,902,PLACED
IU348,903,PLACED
CM221,904,PLACED
FB602,905,PLACED
ID078,906,PLACED
RG949,907,PLACED
OV175,908,PLACED
GY227,909,PLACED
PU637,910,PLACED
LP961,911,PLACED
MW797,912,PLACED
DR567,913,PLACED
LT787,914,PLACED
PU637,915,PLACED
AI186,916,PLACED
KE304,917,PLACED
EG092,918,PLACED
ZP972,919,PLACED
BE531,920,PLACED
DR567,921,PLACED
OE837,922,PLACED
GS970,923,PLACED
LT787,924,PLACED
YQ009,925,PLACED
LP961,926,PLACED
ES731,927,PLACED
FB602,928,PLACED
UN313,929,PLACED
KT263,930,PLACED
QO801,931,PLACED
TJ349,932,PLACED
EO425,933,PLACED
UV185,934,PLACED
DX546,935,PLACED
WT163,936,PLACED
FM680,937,PLACED
UA828,938,PLACED
UG099,939,PLACED
LC708,940,PLACED
UN313,941,PLACED
NB019,942,PLACED
WT163,943,PLACED
TP845,944,PLACED
GH572,945,PLACED
NQ516,946,PLACED
QN420,947,PLACED
KE304,948,PLACED
AY360,949,PLACED
QO801,950,PLACED
AG377,951,PLACED
KT263,952,PLACED
DV187,953,PLACED
NN992,954,PLACED
ZA627,955,PLACED
KT263,956,PLACED
YQ009,957,PLACED
OI217,958,PLACED
AY360,959,PLACED
NZ483,960,PLACED
UN313,961,PLACED
TI502,962,PLACED
GU953,963,PLACED
ET738,964,PLACED
ES731,965,PLACED
ER267,966,PLACED
WT163,967,PLACED
EO425,968,PLACED
FR131,969,PLACED
TZ806,970,PLACED
HF081,971,PLACED
TM772,972,PLACED
ER267,973,PLACED
WQ694,974,PLACED
EO425,975,PLACED
OI217,976,PLACED
AY360,977,PLACED
UA828,978,PLACED
WR609,979,PLACED
ZY562,980,PLACED
GS970,981,PLACED
TM772,982,PLACED
LC708,983,PLACED
ZX420,984,PLACED
QN420,985,PLACED
FN752,986,PLACED
PK065,987,PLACED
MT817,988,PLACED
WT163,989,PLACED
ET738,990,PLACED
FS045,991,PLACED
OI217,992,PLACED
HY451,993,PLACED
TR797,994,PLACED
XW166,995,PLACED
UQ170,996,PLACED
SO908,997,PLACED
RG949,998,PLACED
NQ516,999,PLACED
UQ126,1000,PLACED
