:START_ID(Order),:END_ID(Product),:TYPE,UnitPrice,Quantity,Discount
63,17,CONTAINS,1013.27,4,0.1
63,59,CONTAINS,7038.49,4,0.1
64,12,CONTAINS,1841.89,1,0.0
64,54,CONTAINS,5106.62,8,0.05
64,57,CONTAINS,730.44,18,0.05
64,68,CONTAINS,5032.54,2,0.05
64,73,CONTAINS,4430.16,16,0.05
65,46,CONTAINS,6530.39,16,0.2
65,53,CONTAINS,7072.83,10,0.05
65,71,CONTAINS,8700.45,3,0.15
65,85,CONTAINS,9837.19,10,0.2
66,55,CONTAINS,392.57,10,0.1
67,35,CONTAINS,5671.19,18,0.0
67,61,CONTAINS,8824.32,18,0.0
67,73,CONTAINS,4719.81,18,0.1
67,75,CONTAINS,4250.26,5,0.1
67,91,CONTAINS,6700.31,17,0.1
68,7,CONTAINS,6495.08,15,0.1
68,9,CONTAINS,8975.88,8,0.15
68,24,CONTAINS,7890.32,7,0.05
68,54,CONTAINS,5311.08,7,0.15
68,56,CONTAINS,7745.1,4,0.2
69,4,CONTAINS,3778.45,14,0.0
69,57,CONTAINS,745.22,1,0.0
69,76,CONTAINS,9422.9,6,0.2
69,96,CONTAINS,1258.86,4,0.0
70,14,CONTAINS,2180.35,6,0.1
70,17,CONTAINS,1036.52,3,0.1
70,57,CONTAINS,727.26,4,0.1
70,72,CONTAINS,9958.71,19,0.15
70,95,CONTAINS,1447.99,14,0.0
71,22,CONTAINS,4169.89,15,0.1
71,23,CONTAINS,6276.24,18,0.2
71,94,CONTAINS,9408.27,7,0.15
72,18,CONTAINS,5745.82,10,0.05
72,76,CONTAINS,9645.32,1,0.15
72,89,CONTAINS,4068.55,17,0.05
73,38,CONTAINS,9739.46,8,0.1
73,48,CONTAINS,7920.29,18,0.15
73,89,CONTAINS,4347.12,11,0.05
73,96,CONTAINS,1162.68,18,0.1
74,2,CONTAINS,876.57,12,0.05
74,7,CONTAINS,6409.78,9,0.0
74,26,CONTAINS,4676.41,8,0.1
74,53,CONTAINS,6699.02,6,0.15
74,86,CONTAINS,5249.69,14,0.1
75,22,CONTAINS,4275.37,18,0.05
75,42,CONTAINS,9669.36,19,0.15
75,77,CONTAINS,206.5,2,0.1
76,23,CONTAINS,6193.29,20,0.2
76,25,CONTAINS,1419.93,15,0.15
76,54,CONTAINS,5292.99,16,0.0
76,57,CONTAINS,694.1,14,0.15
76,60,CONTAINS,4921.84,16,0.1
77,23,CONTAINS,6084.16,14,0.05
77,27,CONTAINS,9507.49,14,0.2
78,84,CONTAINS,4814.85,8,0.2
79,22,CONTAINS,4071.73,9,0.0
79,61,CONTAINS,8836.03,20,0.1
79,84,CONTAINS,4842.54,20,0.2
79,93,CONTAINS,6490.6,3,0.1
79,94,CONTAINS,9393.04,7,0.1
80,48,CONTAINS,7731.33,5,0.1
80,62,CONTAINS,5330.98,14,0.15
80,100,CONTAINS,388.23,16,0.2
81,22,CONTAINS,3966.1,5,0.15
82,12,CONTAINS,1891.15,1,0.1
83,7,CONTAINS,6560.19,5,0.0
83,72,CONTAINS,9701.61,18,0.15
83,82,CONTAINS,4625.39,5,0.0
83,83,CONTAINS,9656.65,8,0.2
84,15,CONTAINS,2722.71,20,0.05
84,76,CONTAINS,9778.86,7,0.05
84,100,CONTAINS,398.47,7,0.2
85,2,CONTAINS,849.13,6,0.05
85,15,CONTAINS,2653.88,13,0.1
85,64,CONTAINS,967.59,17,0.05
86,9,CONTAINS,8863.09,18,0.1
87,51,CONTAINS,1682.07,15,0.15
87,98,CONTAINS,1716.26,16,0.0
88,33,CONTAINS,221.67,8,0.0
89,21,CONTAINS,6920.46,8,0.05
90,37,CONTAINS,2829.81,6,0.1
90,39,CONTAINS,610.08,10,0.05
90,44,CONTAINS,4292.29,15,0.05
90,71,CONTAINS,7938.91,7,0.15
91,4,CONTAINS,3725.55,15,0.0
91,92,CONTAINS,1208.64,16,0.15
92,38,CONTAINS,9126.23,2,0.15
92,46,CONTAINS,5979.25,8,0.1
92,89,CONTAINS,4062.61,7,0.15
93,74,CONTAINS,1670.73,9,0.2
94,12,CONTAINS,1878.95,10,0.1
94,35,CONTAINS,5556.88,7,0.1
94,61,CONTAINS,8355.29,6,0.1
94,92,CONTAINS,1189.72,1,0.05
95,9,CONTAINS,8890.16,4,0.05
95,81,CONTAINS,2004.47,8,0.05
95,89,CONTAINS,4053.62,20,0.0
95,95,CONTAINS,1352.32,1,0.15
96,1,CONTAINS,5642.17,19,0.15
96,37,CONTAINS,3041.59,13,0.0
96,54,CONTAINS,5092.14,15,0.15
96,64,CONTAINS,914.41,4,0.15
97,83,CONTAINS,9310.43,7,0.1
98,14,CONTAINS,2199.39,8,0.1
98,98,CONTAINS,1751.92,15,0.0
99,64,CONTAINS,976.96,4,0.15
100,81,CONTAINS,2084.58,6,0.05
101,11,CONTAINS,1711.26,9,0.0
101,37,CONTAINS,3090.18,8,0.15
101,80,CONTAINS,7746.52,18,0.15
102,38,CONTAINS,9368.32,15,0.2
102,67,CONTAINS,4913.85,9,0.05
102,73,CONTAINS,4405.56,3,0.2
103,26,CONTAINS,4998.66,8,0.2
103,27,CONTAINS,9389.48,11,0.0
103,34,CONTAINS,2901.05,12,0.05
103,39,CONTAINS,625.31,18,0.15
104,27,CONTAINS,10116.64,4,0.0
104,43,CONTAINS,2690.82,18,0.2
104,44,CONTAINS,4465.18,7,0.1
104,82,CONTAINS,4584.49,4,0.15
104,83,CONTAINS,9426.45,4,0.05
105,3,CONTAINS,3487.19,17,0.2
105,68,CONTAINS,5390.39,1,0.15
105,95,CONTAINS,1341.13,6,0.0
106,83,CONTAINS,9627.66,6,0.1
106,100,CONTAINS,404.72,6,0.0
107,30,CONTAINS,8589.32,13,0.15
107,40,CONTAINS,3685.78,16,0.2
107,57,CONTAINS,737.42,14,0.1
107,71,CONTAINS,8267.63,15,0.05
107,86,CONTAINS,5087.87,11,0.2
108,15,CONTAINS,2754.65,12,0.05
108,17,CONTAINS,998.21,6,0.0
108,26,CONTAINS,4907.82,20,0.0
108,71,CONTAINS,8632.0,3,0.2
108,100,CONTAINS,384.95,15,0.15
109,3,CONTAINS,3363.93,15,0.2
109,37,CONTAINS,3055.12,9,0.1
109,45,CONTAINS,5528.37,3,0.15
109,47,CONTAINS,8225.12,4,0.2
109,87,CONTAINS,4296.4,8,0.2
110,7,CONTAINS,6901.94,5,0.2
110,11,CONTAINS,1603.2,16,0.0
110,41,CONTAINS,3672.21,1,0.05
110,80,CONTAINS,8114.6,14,0.05
110,94,CONTAINS,9352.23,6,0.1
111,10,CONTAINS,2969.18,6,0.15
111,36,CONTAINS,278.72,19,0.1
112,27,CONTAINS,10080.53,16,0.2
113,99,CONTAINS,965.3,5,0.1
114,6,CONTAINS,265.56,14,0.05
114,21,CONTAINS,6809.2,8,0.05
114,55,CONTAINS,376.55,12,0.1
114,66,CONTAINS,1907.57,3,0.05
114,75,CONTAINS,4117.04,10,0.15
115,7,CONTAINS,6775.8,5,0.15
115,11,CONTAINS,1614.95,6,0.05
116,1,CONTAINS,5955.58,16,0.15
116,7,CONTAINS,6357.05,6,0.05
116,57,CONTAINS,751.94,20,0.2
116,77,CONTAINS,216.52,7,0.1
117,28,CONTAINS,609.11,10,0.15
117,73,CONTAINS,4594.05,15,0.0
117,94,CONTAINS,9358.67,15,0.2
118,69,CONTAINS,1931.78,1,0.0
119,3,CONTAINS,3511.26,17,0.15
119,57,CONTAINS,747.91,12,0.1
119,68,CONTAINS,5011.42,20,0.2
119,86,CONTAINS,5223.42,3,0.05
120,62,CONTAINS,5253.89,19,0.0
121,8,CONTAINS,3239.15,4,0.0
121,10,CONTAINS,2756.18,11,0.05
121,57,CONTAINS,698.83,5,0.05
121,61,CONTAINS,8414.04,7,0.05
121,96,CONTAINS,1244.32,4,0.2
122,64,CONTAINS,977.77,20,0.1
123,8,CONTAINS,3022.56,12,0.0
123,12,CONTAINS,1735.39,11,0.0
123,41,CONTAINS,3922.92,13,0.05
123,64,CONTAINS,955.06,8,0.05
123,85,CONTAINS,10120.79,18,0.15
124,59,CONTAINS,6980.24,20,0.2
125,23,CONTAINS,6223.98,15,0.05
125,47,CONTAINS,8263.77,15,0.05
125,88,CONTAINS,5605.0,17,0.15
125,89,CONTAINS,4231.51,6,0.0
126,36,CONTAINS,282.01,7,0.0
127,79,CONTAINS,8643.35,14,0.2
127,87,CONTAINS,4064.26,11,0.2
128,12,CONTAINS,1895.44,12,0.0
128,18,CONTAINS,5857.04,1,0.15
128,43,CONTAINS,2916.57,6,0.2
128,81,CONTAINS,2066.67,4,0.1
129,9,CONTAINS,9166.07,2,0.15
129,55,CONTAINS,368.5,4,0.1
129,88,CONTAINS,5421.16,19,0.1
129,96,CONTAINS,1278.11,9,0.1
130,9,CONTAINS,8893.04,6,0.1
130,33,CONTAINS,218.84,19,0.0
130,65,CONTAINS,4267.23,4,0.15
130,84,CONTAINS,4799.79,4,0.0
130,95,CONTAINS,1415.19,19,0.1
131,27,CONTAINS,9933.45,12,0.15
131,29,CONTAINS,501.96,20,0.15
131,69,CONTAINS,2063.65,9,0.0
132,4,CONTAINS,3747.27,15,0.15
132,33,CONTAINS,219.32,9,0.05
132,53,CONTAINS,6537.69,11,0.05
132,56,CONTAINS,8001.22,19,0.1
133,30,CONTAINS,8135.85,5,0.05
133,40,CONTAINS,3676.21,15,0.2
133,82,CONTAINS,4500.48,4,0.1
134,45,CONTAINS,5501.63,20,0.2
134,75,CONTAINS,4121.13,14,0.05
135,34,CONTAINS,2860.67,17,0.0
135,52,CONTAINS,8836.14,16,0.05
135,57,CONTAINS,688.95,7,0.15
135,84,CONTAINS,4619.26,6,0.15
136,61,CONTAINS,9095.46,6,0.1
136,82,CONTAINS,4585.92,2,0.2
137,4,CONTAINS,3756.72,13,0.05
137,66,CONTAINS,1907.64,11,0.15
137,67,CONTAINS,5183.36,13,0.2
137,94,CONTAINS,9524.23,5,0.2
138,7,CONTAINS,6495.91,12,0.0
138,27,CONTAINS,9399.05,3,0.2
138,42,CONTAINS,9208.34,6,0.1
138,69,CONTAINS,1915.6,14,0.2
139,2,CONTAINS,857.06,20,0.2
140,45,CONTAINS,5318.4,14,0.15
140,62,CONTAINS,5333.36,20,0.05
140,65,CONTAINS,4555.23,2,0.1
140,70,CONTAINS,3526.22,19,0.15
140,98,CONTAINS,1635.85,20,0.05
141,23,CONTAINS,5951.94,8,0.15
141,74,CONTAINS,1631.24,18,0.2
141,92,CONTAINS,1216.23,20,0.2
141,97,CONTAINS,1696.9,18,0.15
142,35,CONTAINS,5410.28,15,0.0
142,36,CONTAINS,280.51,19,0.05
142,59,CONTAINS,6701.02,11,0.05
143,10,CONTAINS,2912.04,12,0.0
143,18,CONTAINS,6101.23,8,0.05
143,39,CONTAINS,605.97,18,0.05
143,70,CONTAINS,3627.62,1,0.15
144,10,CONTAINS,2793.34,18,0.2
144,37,CONTAINS,3039.8,4,0.15
144,84,CONTAINS,4962.83,15,0.2
144,90,CONTAINS,5245.16,19,0.1
145,29,CONTAINS,495.01,20,0.0
145,65,CONTAINS,4178.89,19,0.1
145,80,CONTAINS,8389.38,7,0.0
145,84,CONTAINS,4768.18,15,0.05
146,75,CONTAINS,4005.52,7,0.05
147,25,CONTAINS,1383.75,20,0.15
147,60,CONTAINS,4680.29,17,0.15
147,72,CONTAINS,9796.46,6,0.05
148,80,CONTAINS,7875.33,18,0.15
149,14,CONTAINS,2187.85,11,0.2
149,29,CONTAINS,508.78,15,0.1
149,36,CONTAINS,265.89,1,0.15
149,87,CONTAINS,4227.78,19,0.1
149,89,CONTAINS,3999.86,18,0.2
150,54,CONTAINS,5044.52,1,0.0
150,85,CONTAINS,9917.4,6,0.15
151,29,CONTAINS,505.6,1,0.05
151,32,CONTAINS,8163.57,12,0.2
151,73,CONTAINS,4395.52,16,0.05
152,22,CONTAINS,4193.56,15,0.1
152,26,CONTAINS,4892.96,15,0.05
152,52,CONTAINS,9689.16,7,0.2
152,69,CONTAINS,1884.86,2,0.2
152,84,CONTAINS,4617.4,15,0.05
153,30,CONTAINS,8111.99,20,0.2
153,72,CONTAINS,9399.87,1,0.2
154,17,CONTAINS,1029.68,12,0.2
155,24,CONTAINS,7327.08,16,0.1
155,49,CONTAINS,7056.76,2,0.2
155,81,CONTAINS,2071.76,17,0.1
155,86,CONTAINS,5330.41,20,0.0
156,10,CONTAINS,2739.12,10,0.15
156,34,CONTAINS,2911.87,14,0.2
156,51,CONTAINS,1718.11,7,0.2
156,61,CONTAINS,8564.53,2,0.2
156,93,CONTAINS,6168.73,6,0.0
157,86,CONTAINS,4986.88,9,0.0
157,88,CONTAINS,5766.35,17,0.2
158,15,CONTAINS,2721.1,8,0.1
158,26,CONTAINS,4891.75,4,0.15
158,56,CONTAINS,7862.49,10,0.0
159,21,CONTAINS,7002.13,18,0.2
159,83,CONTAINS,9375.07,13,0.05
159,100,CONTAINS,398.04,1,0.1
160,5,CONTAINS,4507.06,17,0.1
160,6,CONTAINS,255.97,3,0.2
160,8,CONTAINS,3154.94,19,0.0
160,87,CONTAINS,4284.35,10,0.2
161,48,CONTAINS,7971.28,4,0.2
162,13,CONTAINS,9233.27,16,0.15
162,85,CONTAINS,10074.29,13,0.15
163,5,CONTAINS,4557.13,19,0.0
163,22,CONTAINS,4151.22,5,0.2
164,6,CONTAINS,249.91,16,0.15
164,59,CONTAINS,6686.15,17,0.2
164,76,CONTAINS,9549.58,16,0.0
164,82,CONTAINS,4774.42,8,0.15
165,82,CONTAINS,4758.52,10,0.05
165,99,CONTAINS,935.41,1,0.0
166,26,CONTAINS,4763.41,7,0.15
166,41,CONTAINS,4001.36,2,0.15
167,51,CONTAINS,1759.62,15,0.2
167,55,CONTAINS,370.05,10,0.15
167,68,CONTAINS,5244.46,1,0.0
167,97,CONTAINS,1653.18,7,0.2
168,7,CONTAINS,6906.75,13,0.2
168,36,CONTAINS,276.69,9,0.15
168,48,CONTAINS,7463.86,3,0.2
168,95,CONTAINS,1461.66,17,0.1
169,26,CONTAINS,4736.86,7,0.1
170,29,CONTAINS,494.98,11,0.05
170,50,CONTAINS,4894.65,17,0.0
170,84,CONTAINS,4910.22,13,0.1
170,93,CONTAINS,6230.4,3,0.0
171,5,CONTAINS,4486.9,15,0.1
171,26,CONTAINS,4700.55,14,0.0
171,49,CONTAINS,7185.27,13,0.2
172,29,CONTAINS,520.1,3,0.15
172,35,CONTAINS,5349.13,19,0.2
172,46,CONTAINS,6549.85,1,0.2
173,86,CONTAINS,5077.49,10,0.1
174,12,CONTAINS,1743.63,5,0.15
174,30,CONTAINS,8160.7,5,0.2
174,69,CONTAINS,1895.91,14,0.0
175,64,CONTAINS,988.2,20,0.2
175,86,CONTAINS,5404.25,13,0.0
175,87,CONTAINS,4070.33,17,0.05
176,78,CONTAINS,5369.04,2,0.2
177,53,CONTAINS,6608.91,5,0.05
177,75,CONTAINS,4019.56,16,0.2
177,89,CONTAINS,4087.84,11,0.1
178,14,CONTAINS,2253.61,20,0.05
178,15,CONTAINS,2776.45,17,0.15
178,23,CONTAINS,6177.58,5,0.05
179,33,CONTAINS,227.38,15,0.05
179,64,CONTAINS,951.85,1,0.15
179,78,CONTAINS,5052.79,17,0.15
179,97,CONTAINS,1595.29,10,0.2
179,100,CONTAINS,408.46,8,0.05
180,8,CONTAINS,3151.66,10,0.1
180,50,CONTAINS,5008.19,3,0.15
180,53,CONTAINS,7016.81,6,0.05
181,8,CONTAINS,3001.92,2,0.1
181,46,CONTAINS,6472.73,15,0.05
181,66,CONTAINS,1963.36,5,0.1
181,78,CONTAINS,5157.89,19,0.15
182,37,CONTAINS,2902.53,14,0.2
182,64,CONTAINS,957.47,12,0.1
182,81,CONTAINS,1993.14,7,0.0
182,85,CONTAINS,9879.79,2,0.1
183,9,CONTAINS,9611.01,13,0.0
183,11,CONTAINS,1701.13,16,0.0
183,42,CONTAINS,9226.86,14,0.1
184,10,CONTAINS,2766.7,4,0.1
184,43,CONTAINS,2701.53,1,0.0
184,52,CONTAINS,9286.35,19,0.0
184,96,CONTAINS,1189.96,12,0.15
185,7,CONTAINS,6378.56,12,0.1
185,35,CONTAINS,5213.01,17,0.1
186,85,CONTAINS,9605.37,6,0.0
187,6,CONTAINS,256.3,5,0.2
187,25,CONTAINS,1418.37,8,0.05
188,18,CONTAINS,5898.5,17,0.15
188,41,CONTAINS,3757.17,11,0.15
188,79,CONTAINS,9231.38,10,0.05
188,82,CONTAINS,4884.55,9,0.0
188,84,CONTAINS,4709.33,4,0.15
189,54,CONTAINS,5212.08,1,0.0
190,35,CONTAINS,5619.57,10,0.0
190,43,CONTAINS,2721.41,13,0.1
190,79,CONTAINS,9022.28,12,0.0
190,82,CONTAINS,4548.57,3,0.0
190,100,CONTAINS,384.8,9,0.05
191,11,CONTAINS,1629.19,6,0.0
191,17,CONTAINS,965.47,7,0.0
191,54,CONTAINS,4872.54,19,0.05
191,70,CONTAINS,3770.97,3,0.15
192,70,CONTAINS,3515.56,10,0.15
192,80,CONTAINS,7949.56,1,0.2
192,98,CONTAINS,1696.41,12,0.0
193,5,CONTAINS,4236.04,18,0.1
193,22,CONTAINS,4135.61,20,0.2
193,35,CONTAINS,5534.74,9,0.1
193,56,CONTAINS,8014.12,8,0.1
194,14,CONTAINS,2190.79,14,0.15
194,35,CONTAINS,5630.01,3,0.15
194,78,CONTAINS,5305.66,9,0.0
194,91,CONTAINS,6712.95,2,0.0
195,5,CONTAINS,4202.81,3,0.15
195,76,CONTAINS,9898.71,14,0.0
196,21,CONTAINS,7262.81,17,0.15
196,83,CONTAINS,10003.89,3,0.15
197,10,CONTAINS,2866.02,16,0.1
197,61,CONTAINS,8442.6,6,0.2
198,5,CONTAINS,4218.77,10,0.2
198,53,CONTAINS,7006.7,4,0.1
198,72,CONTAINS,9448.33,8,0.2
198,74,CONTAINS,1687.87,16,0.1
199,26,CONTAINS,4832.66,18,0.1
199,81,CONTAINS,2090.18,2,0.0
199,92,CONTAINS,1217.39,6,0.15
200,21,CONTAINS,7176.72,16,0.15
200,64,CONTAINS,960.3,8,0.15
200,71,CONTAINS,8756.9,11,0.1
200,83,CONTAINS,9803.19,9,0.0
201,43,CONTAINS,2853.74,19,0.2
201,45,CONTAINS,5458.31,12,0.1
201,91,CONTAINS,6581.76,15,0.2
202,9,CONTAINS,9077.27,6,0.05
202,25,CONTAINS,1402.7,8,0.0
202,33,CONTAINS,227.03,8,0.0
202,44,CONTAINS,4442.47,8,0.2
203,24,CONTAINS,7238.56,9,0.15
204,7,CONTAINS,6856.92,8,0.1
204,14,CONTAINS,2298.14,14,0.0
204,38,CONTAINS,8943.33,13,0.05
205,28,CONTAINS,592.1,18,0.05
205,53,CONTAINS,7007.33,10,0.2
206,21,CONTAINS,7078.49,18,0.0
206,24,CONTAINS,7660.16,13,0.2
206,84,CONTAINS,4811.92,2,0.1
206,88,CONTAINS,5364.34,1,0.0
207,11,CONTAINS,1708.59,7,0.2
207,57,CONTAINS,744.39,16,0.15
207,62,CONTAINS,4996.66,2,0.15
208,47,CONTAINS,8430.7,4,0.0
208,55,CONTAINS,390.82,8,0.1
208,72,CONTAINS,10148.6,7,0.05
208,91,CONTAINS,6614.73,10,0.2
208,99,CONTAINS,949.83,5,0.1
209,18,CONTAINS,5709.93,2,0.2
209,25,CONTAINS,1443.2,7,0.15
209,53,CONTAINS,6638.53,2,0.2
209,64,CONTAINS,942.74,9,0.1
210,66,CONTAINS,1909.2,19,0.15
211,21,CONTAINS,6644.2,6,0.1
211,64,CONTAINS,902.28,10,0.05
212,45,CONTAINS,5143.11,1,0.0
212,66,CONTAINS,1896.85,18,0.05
213,8,CONTAINS,3231.11,13,0.2
213,17,CONTAINS,1014.74,4,0.2
213,25,CONTAINS,1474.98,16,0.0
213,45,CONTAINS,5513.92,4,0.2
213,90,CONTAINS,5370.91,7,0.1
214,28,CONTAINS,628.75,4,0.1
214,91,CONTAINS,6197.98,2,0.05
