:START_ID(Customer),:END_ID(Review),:TYPE
SO908,4655,WROTE
RN037,4956,WROTE
MX294,172,WROTE
UQ170,261,WROTE
GH572,623,WROTE
DX546,720,WROTE
ES731,1171,WROTE
GS970,3956,WROTE
UN313,2545,WROTE
NB019,2011,WROTE
TZ806,4155,WROTE
UA828,353,WROTE
NZ483,674,WROTE
VW282,1316,WROTE
KT263,1456,WROTE
RG949,4694,WROTE
NQ516,4907,WROTE
UD950,3506,WROTE
TP845,3575,WROTE
DX546,3595,WROTE
FS045,2164,WROTE
UD950,2251,WROTE
ZY562,2853,WROTE
ZP972,509,WROTE
CB552,1107,WROTE
GY227,529,WROTE
QN420,562,WROTE
JI223,576,WROTE
ZX420,887,WROTE
TI502,1273,WROTE
LP961,3153,WROTE
LC708,3724,WROTE
FR131,3774,WROTE
US789,3996,WROTE
TR797,3024,WROTE
SO908,4027,WROTE
QO801,4199,WROTE
AY360,4408,WROTE
KE304,215,WROTE
UQ170,1254,WROTE
FR131,2603,WROTE
GY227,2215,WROTE
QN420,2597,WROTE
QC191,198,WROTE
ZY562,433,WROTE
ZA627,770,WROTE
ID078,1367,WROTE
TK597,182,WROTE
DR567,459,WROTE
NQ228,1325,WROTE
XS276,1409,WROTE
NQ516,4443,WROTE
WT163,2305,WROTE
DX546,2426,WROTE
TF836,2626,WROTE
HF081,2750,WROTE
KE304,4472,WROTE
ZP972,3478,WROTE
SO908,3139,WROTE
RG949,3555,WROTE
OE837,1773,WROTE
TJ349,2538,WROTE
ET738,62,WROTE
TM772,1020,WROTE
FB602,1100,WROTE
KT263,273,WROTE
CM221,595,WROTE
RG949,1426,WROTE
UQ170,1839,WROTE
GY227,2311,WROTE
FB602,2653,WROTE
UV380,2778,WROTE
UQ170,3520,WROTE
NQ228,3743,WROTE
UV380,4583,WROTE
TR797,4997,WROTE
TP845,2797,WROTE
JJ935,662,WROTE
FS045,1067,WROTE
JI223,1134,WROTE
XD471,1301,WROTE
JO498,3376,WROTE
VO839,4190,WROTE
CB552,1919,WROTE
OI217,4761,WROTE
US789,987,WROTE
NB002,2138,WROTE
MT817,2694,WROTE
LP961,3320,WROTE
UA828,4064,WROTE
RN037,3732,WROTE
HB552,4069,WROTE
FN752,2105,WROTE
BN567,2242,WROTE
TF836,4603,WROTE
TX494,4864,WROTE
FR076,4745,WROTE
VO839,3815,WROTE
TP845,4222,WROTE
BE531,4326,WROTE
DR567,1237,WROTE
GU953,2040,WROTE
QN420,1948,WROTE
ZY562,2049,WROTE
FS045,2091,WROTE
BN567,2271,WROTE
UX720,2297,WROTE
HB552,3189,WROTE
WR609,3875,WROTE
ZY562,4118,WROTE
HF081,4407,WROTE
JO498,362,WROTE
UG099,748,WROTE
NQ516,954,WROTE
WQ694,534,WROTE
HB552,1598,WROTE
ZA627,3275,WROTE
AG377,3446,WROTE
HY451,3744,WROTE
WT163,3881,WROTE
EG092,4187,WROTE
LC708,397,WROTE
TP845,917,WROTE
FR131,1418,WROTE
ES731,4792,WROTE
UD654,4911,WROTE
KE304,2163,WROTE
RN037,2909,WROTE
JJ935,1569,WROTE
TP845,2364,WROTE
LC708,2376,WROTE
TZ806,250,WROTE
AG377,1284,WROTE
MX294,4039,WROTE
WQ694,4592,WROTE
JO978,4628,WROTE
PN121,4764,WROTE
LV223,1335,WROTE
UG099,1570,WROTE
GH572,1623,WROTE
TP845,1645,WROTE
GU953,2499,WROTE
QO801,3391,WROTE
TZ806,3609,WROTE
NB002,4248,WROTE
CB552,3204,WROTE
GH572,4178,WROTE
FB602,98,WROTE
DR567,4796,WROTE
KT263,4985,WROTE
UC855,44,WROTE
TZ806,560,WROTE
WT163,4097,WROTE
OI217,1865,WROTE
AI186,2184,WROTE
FR076,1649,WROTE
MW797,2019,WROTE
KE304,946,WROTE
GV152,4983,WROTE
GY227,3475,WROTE
VW282,4158,WROTE
KT263,4216,WROTE
VO839,293,WROTE
DX546,478,WROTE
OV175,936,WROTE
WR609,2399,WROTE
ZA627,2450,WROTE
UD950,2887,WROTE
UQ126,1936,WROTE
DR567,2232,WROTE
LV223,2410,WROTE
ID078,2567,WROTE
QC191,153,WROTE
ER267,1499,WROTE
EO425,2998,WROTE
JO498,3359,WROTE
GV152,4710,WROTE
MU442,101,WROTE
TX494,401,WROTE
XD471,1215,WROTE
FR076,2276,WROTE
RG949,2421,WROTE
CM221,3384,WROTE
NB019,3580,WROTE
UQ126,3604,WROTE
MW797,4264,WROTE
ID078,4433,WROTE
ID078,3100,WROTE
QN420,4049,WROTE
DV187,36,WROTE
HY451,536,WROTE
JI223,554,WROTE
TZ806,725,WROTE
DY566,1427,WROTE
EO425,843,WROTE
HF081,1449,WROTE
PK065,3476,WROTE
MX294,3590,WROTE
KT263,3955,WROTE
LV223,4323,WROTE
FN752,4345,WROTE
EG092,3369,WROTE
PU637,3452,WROTE
CB552,703,WROTE
BN567,747,WROTE
UQ126,1081,WROTE
OI217,4512,WROTE
HY451,4496,WROTE
WT163,105,WROTE
DR567,2997,WROTE
TF836,3569,WROTE
PK065,4291,WROTE
KE304,4382,WROTE
LV223,4426,WROTE
QO801,1675,WROTE
UA828,2524,WROTE
ZA627,2608,WROTE
VW282,74,WROTE
OV175,103,WROTE
XS276,697,WROTE
TF836,4462,WROTE
EO425,3177,WROTE
WQ694,3728,WROTE
LP961,4128,WROTE
LT787,344,WROTE
MW797,438,WROTE
UQ126,1842,WROTE
UX720,4770,WROTE
NQ228,4901,WROTE
BE531,4934,WROTE
GS970,25,WROTE
FM680,178,WROTE
UN313,690,WROTE
DY566,3062,WROTE
VW282,2663,WROTE
CM221,2547,WROTE
DV187,93,WROTE
UV185,322,WROTE
TP845,3830,WROTE
UD654,4048,WROTE
GH572,4202,WROTE
TJ349,3267,WROTE
LT787,4071,WROTE
ER267,2025,WROTE
BN567,4740,WROTE
IU348,73,WROTE
CK028,634,WROTE
LP961,643,WROTE
TP845,376,WROTE
TK597,2729,WROTE
OI217,2745,WROTE
DY566,3408,WROTE
OI217,3500,WROTE
HF081,3682,WROTE
KT263,4537,WROTE
FS045,4508,WROTE
UN313,4726,WROTE
QO801,4762,WROTE
UG099,275,WROTE
UD950,1058,WROTE
TI502,4210,WROTE
HB552,4381,WROTE
LT787,3124,WROTE
EG092,3675,WROTE
PU637,3953,WROTE
LP961,3970,WROTE
NQ516,2404,WROTE
XS276,636,WROTE
KT263,795,WROTE
NN992,1005,WROTE
PN121,166,WROTE
YQ009,496,WROTE
TK597,3036,WROTE
OV175,4241,WROTE
XW166,4563,WROTE
EO425,2057,WROTE
DX546,2277,WROTE
ID078,1560,WROTE
UQ170,1982,WROTE
TI502,2974,WROTE
OI217,3424,WROTE
CB552,4358,WROTE
NB019,4448,WROTE
PN121,708,WROTE
CB552,1414,WROTE
AI186,976,WROTE
UD950,1303,WROTE
ZX420,1397,WROTE
US789,3169,WROTE
GV152,3855,WROTE
AY360,1531,WROTE
YQ009,1805,WROTE
TM772,3290,WROTE
UC855,3683,WROTE
PU637,4330,WROTE
NB019,352,WROTE
MU442,453,WROTE
TX494,4634,WROTE
MW797,4873,WROTE
NB019,3236,WROTE
JI223,3586,WROTE
ZX420,1886,WROTE
NZ483,1916,WROTE
ER267,1943,WROTE
GH572,624,WROTE
ER267,924,WROTE
CM221,1051,WROTE
WT163,1194,WROTE
ZX420,3987,WROTE
ZA627,3989,WROTE
UQ170,3999,WROTE
DR567,4642,WROTE
NB002,1554,WROTE
UD950,1902,WROTE
BN567,1969,WROTE
AI186,242,WROTE
UC855,710,WROTE
VW282,4470,WROTE
TI502,4912,WROTE
IU348,1583,WROTE
WT163,1642,WROTE
LT787,1741,WROTE
CB552,1847,WROTE
ZP972,1853,WROTE
ES731,2586,WROTE
DV187,3403,WROTE
UN313,3789,WROTE
DV187,189,WROTE
FR076,239,WROTE
TF836,1291,WROTE
SO908,794,WROTE
UD654,926,WROTE
JI223,1848,WROTE
UX720,2523,WROTE
UQ126,2668,WROTE
CB552,3563,WROTE
ID078,3777,WROTE
SO908,4269,WROTE
OZ845,221,WROTE
PN121,380,WROTE
NQ516,686,WROTE
UD950,1104,WROTE
RN037,1283,WROTE
GS970,4799,WROTE
ES731,2106,WROTE
JO978,1539,WROTE
UQ170,32,WROTE
UG099,865,WROTE
OV175,3585,WROTE
RG949,4782,WROTE
OZ845,409,WROTE
SO908,914,WROTE
HY451,2706,WROTE
NN992,3494,WROTE
HB552,3879,WROTE
LT787,4297,WROTE
QC191,3053,WROTE
NZ483,3310,WROTE
PU637,937,WROTE
IU348,1006,WROTE
SO908,1664,WROTE
UV380,1673,WROTE
UX720,1901,WROTE
NQ228,2189,WROTE
DY566,1111,WROTE
UX720,1126,WROTE
HY451,1208,WROTE
TX494,373,WROTE
QN420,407,WROTE
XS276,3335,WROTE
EG092,4014,WROTE
PN121,1517,WROTE
XD471,1526,WROTE
GS970,2461,WROTE
OE837,2143,WROTE
NB019,2779,WROTE
CK028,463,WROTE
HF081,1177,WROTE
TK597,4878,WROTE
XD471,4013,WROTE
CK028,4373,WROTE
RN037,3326,WROTE
ES731,4108,WROTE
ZX420,1170,WROTE
QO801,1271,WROTE
ZX420,2946,WROTE
DX546,1548,WROTE
QC191,2485,WROTE
WQ694,2551,WROTE
OZ845,2576,WROTE
NB019,1345,WROTE
QC191,4293,WROTE
JO498,4377,WROTE
ER267,4455,WROTE
WT163,3011,WROTE
NZ483,3262,WROTE
OI217,3788,WROTE
DR567,268,WROTE
QO801,481,WROTE
CM221,1003,WROTE
LT787,1211,WROTE
DV187,2292,WROTE
UD654,1961,WROTE
UN313,2645,WROTE
OZ845,2772,WROTE
ZY562,2866,WROTE
HY451,3231,WROTE
TF836,3581,WROTE
UC855,3766,WROTE
MW797,3915,WROTE
UG099,2445,WROTE
BN567,830,WROTE
ID078,844,WROTE
OI217,1286,WROTE
HY451,4597,WROTE
UA828,2285,WROTE
UA828,2749,WROTE
HF081,2785,WROTE
MU442,2826,WROTE
UA828,3280,WROTE
UD950,3807,WROTE
NZ483,3925,WROTE
FB602,4374,WROTE
US789,497,WROTE
UV380,1503,WROTE
UN313,54,WROTE
NB002,174,WROTE
ZP972,1139,WROTE
QN420,1350,WROTE
UN313,1747,WROTE
WQ694,2508,WROTE
NB019,4551,WROTE
HY451,3477,WROTE
VW282,3802,WROTE
JI223,4052,WROTE
HY451,4375,WROTE
PN121,4063,WROTE
PU637,2464,WROTE
DY566,2575,WROTE
DX546,57,WROTE
NZ483,4473,WROTE
XW166,4559,WROTE
GS970,4969,WROTE
QO801,2158,WROTE
JO498,2822,WROTE
DR567,2845,WROTE
VO839,3596,WROTE
DX546,307,WROTE
AY360,625,WROTE
LC708,1022,WROTE
FN752,523,WROTE
FS045,616,WROTE
CB552,1657,WROTE
UN313,4576,WROTE
VO839,4636,WROTE
NB002,4705,WROTE
MW797,4823,WROTE
QN420,3416,WROTE
NB019,3541,WROTE
UN313,4259,WROTE
VO839,1903,WROTE
PN121,2324,WROTE
EO425,2515,WROTE
FS045,4483,WROTE
OV175,4632,WROTE
TK597,4839,WROTE
NB019,3493,WROTE
OZ845,3791,WROTE
ZP972,3836,WROTE
CM221,3919,WROTE
LV223,4247,WROTE
QC191,160,WROTE
DR567,1444,WROTE
MT817,2354,WROTE
LP961,1699,WROTE
KT263,1984,WROTE
CB552,2678,WROTE
ZX420,3307,WROTE
NQ516,3773,WROTE
DR567,3998,WROTE
GS970,4640,WROTE
NB019,119,WROTE
MU442,406,WROTE
CM221,1333,WROTE
SO908,3273,WROTE
DY566,3467,WROTE
FM680,3961,WROTE
GH572,4383,WROTE
OZ845,2133,WROTE
JO978,2518,WROTE
ID078,4886,WROTE
JI223,4913,WROTE
DX546,3078,WROTE
QC191,3312,WROTE
MX294,3443,WROTE
UQ170,455,WROTE
CB552,650,WROTE
EG092,1687,WROTE
XW166,2016,WROTE
UC855,2453,WROTE
DX546,2634,WROTE
NN992,2841,WROTE
MX294,2225,WROTE
OZ845,3103,WROTE
UX720,4065,WROTE
MU442,500,WROTE
GY227,569,WROTE
IU348,571,WROTE
QC191,1282,WROTE
NN992,1391,WROTE
UN313,3211,WROTE
OI217,3523,WROTE
NQ228,1993,WROTE
KT263,2447,WROTE
UA828,2677,WROTE
QC191,2967,WROTE
QN420,4811,WROTE
UD654,58,WROTE
UC855,404,WROTE
CK028,726,WROTE
NQ228,1532,WROTE
VW282,3123,WROTE
FR076,3130,WROTE
AI186,3134,WROTE
TP845,3315,WROTE
GH572,4020,WROTE
TZ806,2751,WROTE
LP961,2836,WROTE
GV152,2879,WROTE
GY227,416,WROTE
NB002,1064,WROTE
OI217,116,WROTE
OZ845,1953,WROTE
UV380,2072,WROTE
IU348,3686,WROTE
NZ483,4053,WROTE
ZY562,4133,WROTE
ZY562,4343,WROTE
TK597,1624,WROTE
LC708,1770,WROTE
UG099,2193,WROTE
UQ170,2563,WROTE
EO425,2828,WROTE
GS970,2910,WROTE
DR567,4994,WROTE
FM680,3195,WROTE
FR076,3869,WROTE
UQ126,3891,WROTE
FM680,4122,WROTE
JO498,4169,WROTE
JI223,4314,WROTE
ZX420,312,WROTE
KE304,1647,WROTE
UC855,2954,WROTE
XW166,2052,WROTE
AI186,2579,WROTE
US789,2968,WROTE
LC708,3762,WROTE
VO839,4050,WROTE
FS045,688,WROTE
GU953,1260,WROTE
WQ694,1393,WROTE
DY566,715,WROTE
TR797,882,WROTE
LV223,2773,WROTE
UX720,4536,WROTE
NZ483,2987,WROTE
LV223,4280,WROTE
KT263,4385,WROTE
LC708,4435,WROTE
QO801,3250,WROTE
DR567,1528,WROTE
KT263,2919,WROTE
ZP972,4625,WROTE
CK028,4643,WROTE
JO498,4548,WROTE
UD950,3764,WROTE
MT817,965,WROTE
QN420,129,WROTE
XS276,3415,WROTE
OI217,1782,WROTE
NZ483,1813,WROTE
TM772,1925,WROTE
CK028,2095,WROTE
